division_weight,dataset,nodes,edges,forks,edge_tp,edge_fp,edge_fn,div_tp,div_fp,div_fn,edge_jaccard,adj_edge_jaccard,node_recall,solve_s,division_jaccard,score
1.0,44b6_0113de3b,25533.0,24565.0,0,50.0,0.0,0.0,0,0,0,1.0,1.0008619685497961,1.0,21.5,,
1.0,44b6_0b24845f,22937.0,19818.0,0,49.0,0.0,0.0,0,0,0,1.0,1.0300594602835798,1.0,18.2,,
1.0,6bba_05b6850b,6311.0,5934.0,0,821.0,3.0,24.0,0,0,0,0.9681603773584906,0.9689364883180204,0.9907084785133565,4.1,,
1.0,6bba_05db0fb1,69962.0,65469.0,0,1095.0,79.0,88.0,0,0,3,0.8676703645007924,0.8674689854190601,0.9886086248982913,63.0,,
1.0,44b6_33b596bf,24431.0,22885.0,0,49.0,0.0,0.0,0,0,0,1.0,0.9952807543934847,1.0,18.0,,
1.0,__AGGREGATE__,,,0,,,,0,0,3,,0.9148311650306471,,,0.0,0.9148311650306471
0.5,44b6_0113de3b,25536.0,24686.0,119,50.0,0.0,0.0,0,0,0,1.0,1.0008503203261503,1.0,21.7,,
0.5,44b6_0b24845f,22973.0,20031.0,189,49.0,1.0,0.0,0,1,0,0.98,1.0093506937033083,1.0,17.8,,
0.5,6bba_05b6850b,6317.0,5966.0,28,821.0,5.0,24.0,0,2,0,0.9658823529411765,0.9665655454259666,0.9907084785133565,4.9,,
0.5,6bba_05db0fb1,69992.0,65963.0,474,1099.0,86.0,84.0,0,11,3,0.8660362490149724,0.8657980270095128,0.9886086248982913,63.0,,
0.5,44b6_33b596bf,24440.0,23065.0,174,49.0,0.0,0.0,0,0,0,1.0,0.995242177453922,1.0,18.7,,
0.5,__AGGREGATE__,,,984,,,,0,14,3,,0.9125023488905901,,,0.0,0.9125023488905901
0.25,44b6_0113de3b,25540.0,24690.0,121,50.0,0.0,0.0,0,0,0,1.0,1.000834789361289,1.0,22.2,,
0.25,44b6_0b24845f,23043.0,20101.0,218,49.0,1.0,0.0,0,1,0,0.98,1.00914151547492,1.0,17.9,,
0.25,6bba_05b6850b,6333.0,5982.0,34,821.0,6.0,24.0,0,3,0,0.9647473560517039,0.965187118285679,0.9907084785133565,4.2,,
0.25,6bba_05db0fb1,70043.0,66014.0,494,1099.0,87.0,84.0,0,12,3,0.8653543307086614,0.8650530683843602,0.9886086248982913,62.6,,
0.25,44b6_33b596bf,24455.0,23080.0,181,49.0,0.0,0.0,0,0,0,1.0,0.9951778825546507,1.0,18.0,,
0.25,__AGGREGATE__,,,1048,,,,0,16,3,,0.911565711892616,,,0.0,0.911565711892616
0.0,44b6_0113de3b,25562.0,24712.0,132,50.0,0.0,0.0,0,0,0,1.0,1.0007493690545526,1.0,20.8,,
0.0,44b6_0b24845f,23159.0,20217.0,276,49.0,1.0,0.0,0,1,0,0.98,1.0087948772678763,1.0,18.2,,
0.0,6bba_05b6850b,6341.0,5990.0,38,821.0,6.0,24.0,0,3,0,0.9647473560517039,0.9650658045659618,0.9907084785133565,4.1,,
0.0,6bba_05db0fb1,70203.0,66174.0,574,1098.0,89.0,85.0,0,13,3,0.8632075471698113,0.8627091622965886,0.9886086248982913,62.2,,
0.0,44b6_33b596bf,24500.0,23125.0,203,49.0,0.0,0.0,0,0,0,1.0,0.9949849978568367,1.0,17.7,,
0.0,__AGGREGATE__,,,1223,,,,0,17,3,,0.9101534028776411,,,0.0,0.9101534028776411
-0.25,44b6_0113de3b,25625.0,24768.0,166,50.0,0.0,0.0,0,0,0,1.0,1.0005047563579887,1.0,35.5,,
-0.25,44b6_0b24845f,24062.0,20910.0,435,49.0,1.0,0.0,0,1,0,0.98,1.0060964781216648,1.0,19.0,,
-0.25,6bba_05b6850b,6475.0,6095.0,70,817.0,20.0,28.0,0,11,0,0.9445086705202312,0.9428310615958555,0.9907084785133565,5.3,,
-0.25,6bba_05db0fb1,70929.0,66744.0,723,1099.0,90.0,84.0,0,15,3,0.8633150039277298,0.8619186104614913,0.9902359641985354,121.0,,
-0.25,44b6_33b596bf,24656.0,23256.0,259,49.0,0.0,0.0,0,0,0,1.0,0.994316330904415,1.0,21.7,,
-0.25,__AGGREGATE__,,,1653,,,,0,27,3,,0.9015403678776531,,,0.0,0.9015403678776531
-0.5,44b6_0113de3b,25715.0,24831.0,201,50.0,0.0,0.0,0,0,0,1.0,1.000155309648612,1.0,35.2,,
-0.5,44b6_0b24845f,25591.0,22162.0,1369,49.0,2.0,0.0,0,2,0,0.9607843137254902,0.9818896352564506,1.0,20.0,,
-0.5,6bba_05b6850b,6600.0,6211.0,170,811.0,51.0,34.0,0,35,0,0.9051339285714286,0.9017478569744465,0.9930313588850174,5.3,,
-0.5,6bba_05db0fb1,71751.0,67459.0,1306,1099.0,94.0,84.0,0,18,3,0.860610806577917,0.8582052884065223,0.9910496338486574,121.7,,
-0.5,44b6_33b596bf,25042.0,23586.0,528,49.0,0.0,0.0,0,0,0,1.0,0.9926618088298328,1.0,22.1,,
-0.5,__AGGREGATE__,,,3574,,,,0,55,3,,0.8836068870673287,,,0.0,0.8836068870673287
-1.0,44b6_0113de3b,25879.0,24913.0,201,50.0,0.0,0.0,0,0,0,1.0,0.9995185400893031,1.0,41.1,,
-1.0,44b6_0b24845f,28236.0,23497.0,1394,49.0,2.0,0.0,0,2,0,0.9607843137254902,0.9741406658714714,1.0,20.3,,
-1.0,6bba_05b6850b,6816.0,6319.0,170,812.0,51.0,33.0,0,35,0,0.90625,0.8997828906004401,0.9953542392566783,5.8,,
-1.0,6bba_05db0fb1,73472.0,68324.0,1315,1100.0,88.0,83.0,0,18,3,0.8654602675059009,0.8609073017433198,0.9910496338486574,155.2,,
-1.0,44b6_33b596bf,25427.0,23780.0,531,49.0,0.0,0.0,0,0,0,1.0,0.9910115730818688,1.0,23.4,,
-1.0,__AGGREGATE__,,,3611,,,,0,55,3,,0.8841757956576071,,,0.0,0.8841757956576071
