dataset,nodes,edges,forks,edge_tp,edge_fp,edge_fn,div_tp,div_fp,div_fn,adj_edge_jaccard,arm,agreement_with_ilp
44b6_0113de3b,25533,24565,0,50,0,0,0,0,0,1.0008619685497961,ilp_only,1.0
44b6_0113de3b,25218,24471,35,47,2,3,0,0,0,0.905730702029479,incumbent_full,0.9453326456936565
44b6_0113de3b,25533,24710,241,48,2,2,0,0,0,0.923872586353658,trackastra_s2,0.9582323252394389
44b6_0113de3b,25533,24653,212,48,4,2,0,1,0,0.8896550831553743,trackastra_s3,0.9558116431551759
44b6_0113de3b,25533,24457,286,45,5,5,0,1,0,0.818887065177106,trackastra_s4,0.9360214841435962
44b6_0b24845f,22937,19818,0,49,0,0,0,0,0,1.0300594602835798,ilp_only,1.0
44b6_0b24845f,20654,19402,78,49,0,0,0,0,0,1.0370208873303857,incumbent_full,0.8134738983677811
44b6_0b24845f,22937,19302,351,48,0,1,0,0,0,1.0090378386451393,trackastra_s2,0.8685517768437142
44b6_0b24845f,22937,19973,295,48,1,1,0,0,0,0.9888570818722365,trackastra_s3,0.9007834145409381
44b6_0b24845f,22937,19572,273,47,2,2,0,1,0,0.9492704830064362,trackastra_s4,0.8829771977627994
6bba_05b6850b,6311,5934,0,821,3,24,0,0,0,0.9689364883180204,ilp_only,1.0
6bba_05b6850b,6048,5839,9,833,9,12,0,1,0,0.9802240248194969,incumbent_full,0.9284193284193284
6bba_05b6850b,6311,6051,50,829,15,16,0,8,0,0.9647262269434068,trackastra_s2,0.9666885461109288
6bba_05b6850b,6311,6030,31,828,11,17,0,4,0,0.9680651326362427,trackastra_s3,0.9687345729800889
6bba_05b6850b,6311,6012,25,828,11,17,0,4,0,0.9680651326362427,trackastra_s4,0.9677153681436337
6bba_05db0fb1,69962,65469,0,1092,88,91,0,0,3,0.8589666057229941,ilp_only,1.0
6bba_05db0fb1,69203,67163,203,1091,136,92,0,2,3,0.8278492291416394,incumbent_full,0.9078250863060989
6bba_05db0fb1,69962,65006,1495,999,185,184,0,30,3,0.7300936698838788,trackastra_s2,0.8717632375514655
6bba_05db0fb1,69962,66665,892,1058,163,125,0,14,3,0.7858502577945052,trackastra_s3,0.9104447400381701
6bba_05db0fb1,69962,66041,617,1052,159,131,0,11,3,0.7837226822217194,trackastra_s4,0.9120105843183437
44b6_33b596bf,24431,22885,0,49,0,0,0,0,0,0.9952807543934847,ilp_only,1.0
44b6_33b596bf,24035,23147,38,49,0,0,0,0,0,0.9969781397342478,incumbent_full,0.8580770162266893
44b6_33b596bf,24431,23252,348,49,0,0,0,0,0,0.9952807543934847,trackastra_s2,0.8930329886755293
44b6_33b596bf,24431,23167,248,49,0,0,0,0,0,0.9952807543934847,trackastra_s3,0.8963145974881614
44b6_33b596bf,24431,22977,175,49,0,0,0,0,0,0.9952807543934847,trackastra_s4,0.8971622404235956
