coord_scale_units_per_um,median_nn_um,spatial_pos_cutoff_um,max_distance_um,detections,predicted_weights,candidate_edges,solution_nodes,solution_edges,max_window_tokens,batch_size,dataset,coord_scale,seconds
2.0,8.89426563079332,128.0,12.0,25533,28837,26767,25499,24710,1138,2,44b6_0113de3b,2.0,24.410234689712524
3.0,8.89426563079332,85.33333333333333,12.0,25533,28486,26615,25501,24653,1138,2,44b6_0113de3b,3.0,23.77272081375122
4.0,8.89426563079332,64.0,12.0,25533,31053,27804,25431,24457,1138,2,44b6_0113de3b,4.0,23.228729724884033
2.0,9.299544343676198,128.0,12.0,22937,45423,24366,22235,19302,1165,2,44b6_0b24845f,2.0,18.479879140853882
3.0,9.299544343676198,85.33333333333333,12.0,22937,36617,23031,22619,19973,1165,2,44b6_0b24845f,3.0,18.767767190933228
4.0,9.299544343676198,64.0,12.0,22937,37644,23007,22371,19572,1165,2,44b6_0b24845f,4.0,18.08368182182312
2.0,11.899439062409614,128.0,12.0,6311,6627,6173,6309,6051,307,4,6bba_05b6850b,2.0,7.700027704238892
3.0,11.899439062409614,85.33333333333333,12.0,6311,6473,6101,6306,6030,307,4,6bba_05b6850b,3.0,7.716136932373047
4.0,11.899439062409614,64.0,12.0,6311,6422,6086,6300,6012,307,4,6bba_05b6850b,4.0,7.692566156387329
2.0,7.677983133610031,128.0,12.0,69962,123114,86361,69056,65006,3121,1,6bba_05db0fb1,2.0,87.38001012802124
3.0,7.677983133610031,85.33333333333333,12.0,69962,94335,76435,69707,66665,3121,1,6bba_05db0fb1,3.0,89.58682703971863
4.0,7.677983133610031,64.0,12.0,69962,97822,75911,69540,66041,3121,1,6bba_05db0fb1,4.0,88.95960545539856
2.0,8.515496168750255,128.0,12.0,24431,29655,26678,24343,23252,1261,2,44b6_33b596bf,2.0,21.639867305755615
3.0,8.515496168750255,85.33333333333333,12.0,24431,27520,25178,24336,23167,1261,2,44b6_33b596bf,3.0,22.667542695999146
4.0,8.515496168750255,64.0,12.0,24431,28647,24994,24277,22977,1261,2,44b6_33b596bf,4.0,22.56880521774292
