dataset,error,t,gt_source,gt_target,src_detected,tgt_detected,src_match_um,tgt_match_um,pred_parent,n_pred_children,wrong_child_dist_um,gt_step_um,density_10um,gt_parent_n_children
44b6_0113de3b,FN,1,12000000075,13000000075,False,False,,,,0,,1.465,1,1
44b6_0113de3b,FN,47,58000000003,59000000003,True,True,4.143,2.334,11465.0,1,6.918,6.148,3,1
44b6_0113de3b,FN,0,11000000075,12000000075,False,False,,,,0,,2.188,0,1
44b6_0113de3b,FP,47,58000000003,-1,True,False,,,11465.0,1,6.918,,3,1
44b6_0b24845f,FN,40,119000000036,120000000036,True,True,6.359,1.675,13045.0,1,7.546,4.338,2,1
44b6_0b24845f,FN,14,93000000036,94000000036,True,True,2.569,3.275,29136.0,1,4.959,2.071,2,1
44b6_0b24845f,FP,40,119000000036,-1,True,False,,,13045.0,1,7.546,,2,1
44b6_0b24845f,FP,14,93000000036,-1,True,False,,,29136.0,1,4.959,,2,1
6bba_05b6850b,FN,72,73000680,74000695,False,True,,6.822,,0,,2.334,1,1
6bba_05b6850b,FN,70,71000655,72000669,True,True,3.656,4.959,5076.0,1,5.09,1.862,2,1
6bba_05b6850b,FN,8,9000072,10000081,True,True,1.675,3.495,654.0,1,9.893,8.492,1,1
6bba_05b6850b,FN,54,55000486,56000494,True,True,1.465,2.633,3794.0,1,4.001,0.908,2,1
6bba_05b6850b,FN,78,79000758,80000770,True,True,2.873,2.071,5657.0,0,,1.675,2,1
6bba_05b6850b,FN,75,76000720,77000733,True,True,3.447,4.394,5439.0,1,5.09,1.862,2,1
6bba_05b6850b,FN,71,72000666,73000680,True,False,2.188,,5131.0,1,7.048,9.959,1,1
6bba_05b6850b,FN,72,73000682,74000696,True,True,5.139,5.139,5232.0,1,5.984,0.908,2,1
6bba_05b6850b,FN,64,65000591,66000604,True,True,3.173,4.163,4616.0,1,13.158,8.226,1,1
6bba_05b6850b,FN,64,65000590,66000602,True,True,3.833,1.675,4609.0,1,15.271,6.918,1,1
6bba_05b6850b,FN,53,54000482,55000494,True,True,2.334,2.188,3769.0,0,,4.318,2,1
6bba_05b6850b,FN,0,1000010,2000017,False,True,,3.656,,0,,3.495,0,1
6bba_05b6850b,FP,64,65000590,-1,True,False,,,4609.0,1,15.271,,1,1
6bba_05b6850b,FP,64,65000591,-1,True,False,,,4616.0,1,13.158,,1,1
6bba_05b6850b,FP,64,65000595,-1,True,False,,,4661.0,2,1.675,,1,1
6bba_05b6850b,FP,70,71000655,-1,True,False,,,5076.0,1,5.09,,2,1
6bba_05b6850b,FP,75,76000720,-1,True,False,,,5439.0,1,5.09,,2,1
6bba_05b6850b,FP,72,73000682,-1,True,False,,,5232.0,1,5.984,,2,1
6bba_05b6850b,FP,71,72000666,-1,True,False,,,5131.0,1,7.048,,1,1
6bba_05b6850b,FP,48,49000427,-1,True,False,,,3325.0,2,3.04,,1,1
6bba_05b6850b,FP,82,83000802,-1,True,False,,,5936.0,2,5.702,,1,1
6bba_05b6850b,FP,54,55000486,-1,True,False,,,3794.0,1,4.001,,2,1
6bba_05b6850b,FP,8,9000072,-1,True,False,,,654.0,1,9.893,,1,1
6bba_05db0fb1,FN,22,23000356,24000373,True,True,5.76,1.675,18497.0,1,7.93,2.334,5,1
6bba_05db0fb1,FN,27,28000433,29000451,True,True,3.173,2.031,22048.0,1,9.968,7.199,2,1
6bba_05db0fb1,FN,62,63001216,64001239,True,True,5.09,4.755,49531.0,1,5.281,1.724,6,1
6bba_05db0fb1,FN,39,40000698,41000726,True,True,1.465,3.495,32043.0,1,8.637,5.203,2,1
6bba_05db0fb1,FN,21,22000331,23000351,True,True,4.909,1.724,17508.0,1,9.588,4.824,4,1
6bba_05db0fb1,FN,63,64001239,65001263,True,True,4.755,3.98,50182.0,1,6.08,1.675,6,1
6bba_05db0fb1,FN,37,38000665,39000687,True,True,3.833,5.466,30630.0,1,7.13,2.071,4,1
6bba_05db0fb1,FN,19,20000284,21000302,True,True,2.873,2.601,15678.0,0,,7.761,4,1
6bba_05db0fb1,FN,55,56001062,57001084,True,False,6.663,,44284.0,1,7.502,4.394,5,1
6bba_05db0fb1,FN,25,26000400,27000420,True,True,0.908,1.465,20663.0,1,7.888,5.297,3,1
6bba_05db0fb1,FN,55,56001073,57001093,True,True,5.42,6.307,44481.0,2,7.665,2.031,3,1
6bba_05db0fb1,FN,25,26000397,27000414,True,True,2.298,2.725,20177.0,1,7.324,7.279,3,1
6bba_05db0fb1,FN,82,83001622,84001644,True,True,5.139,0.908,63878.0,1,5.817,0.908,3,1
6bba_05db0fb1,FN,57,58001105,59001130,True,True,6.906,0.406,45697.0,1,7.535,1.817,8,1
6bba_05db0fb1,FN,30,31000492,32000517,True,True,1.675,2.334,24456.0,1,5.155,7.141,3,1
6bba_05db0fb1,FN,93,94001837,95001854,True,True,3.447,1.285,71416.0,1,5.817,6.513,5,1
6bba_05db0fb1,FN,80,81001578,82001600,True,True,3.833,3.98,62051.0,1,7.898,7.502,5,1
6bba_05db0fb1,FN,20,21000318,22000338,True,True,4.487,5.297,16843.0,1,6.039,1.99,4,1
6bba_05db0fb1,FN,61,62001192,63001212,True,True,0.0,2.93,48672.0,0,,2.438,5,1
6bba_05db0fb1,FN,38,39000688,40000705,True,True,1.724,0.908,31429.0,1,8.145,6.81,4,1
6bba_05db0fb1,FN,78,79001542,80001559,True,True,3.173,4.318,60915.0,1,4.614,0.908,5,1
6bba_05db0fb1,FN,38,39000689,40000706,True,True,1.862,3.067,31435.0,1,6.5,8.522,6,1
6bba_05db0fb1,FN,25,26000410,27000427,True,True,4.338,1.675,20836.0,1,9.165,4.083,4,1
6bba_05db0fb1,FN,93,94001841,95001860,True,True,2.601,1.817,71399.0,1,8.919,6.513,4,1
6bba_05db0fb1,FN,33,34000581,35000604,True,False,0.908,,27564.0,0,,1.465,6,1
6bba_05db0fb1,FN,92,93001825,94001843,True,True,0.908,3.04,70668.0,1,8.463,6.551,5,1
6bba_05db0fb1,FN,25,26000406,27000425,True,True,2.031,1.465,20762.0,1,7.095,6.411,5,1
6bba_05db0fb1,FN,32,33000538,34000560,True,True,1.817,3.275,26061.0,1,5.171,3.98,5,1
6bba_05db0fb1,FN,25,26000407,27000426,True,True,2.633,2.369,20787.0,1,9.449,5.745,3,1
6bba_05db0fb1,FN,85,86001670,87001687,False,True,,5.203,,0,,9.792,3,1
6bba_05db0fb1,FN,50,51000957,52000981,True,True,4.394,3.656,40741.0,1,8.835,5.203,4,1
6bba_05db0fb1,FN,56,57001084,58001105,False,True,,6.906,,0,,3.094,6,1
6bba_05db0fb1,FN,34,35000604,36000627,False,True,,6.906,,0,,0.0,3,1
6bba_05db0fb1,FN,84,85001653,86001670,True,False,6.918,,65053.0,1,8.145,0.0,3,1
6bba_05db0fb1,FN,72,73001414,74001433,True,True,2.958,2.873,56540.0,1,6.346,4.667,4,1
6bba_05db0fb1,FN,19,20000297,21000318,True,True,1.724,4.487,15998.0,1,5.171,2.958,4,1
6bba_05db0fb1,FN,58,59001141,60001162,True,True,5.929,6.858,46769.0,1,6.858,0.406,4,1
6bba_05db0fb1,FN,65,66001293,67001312,True,True,3.656,3.447,51796.0,1,5.774,2.031,6,1
6bba_05db0fb1,FN,92,93001809,94001830,True,True,3.833,5.511,70628.0,1,12.167,5.025,4,1
6bba_05db0fb1,FN,29,30000470,31000491,True,True,5.887,4.685,23511.0,1,5.76,1.817,4,1
6bba_05db0fb1,FN,74,75001454,76001475,True,True,4.318,4.45,57937.0,1,4.942,0.0,6,1
6bba_05db0fb1,FN,39,40000695,41000719,True,True,1.465,1.724,31899.0,1,5.998,6.214,4,1
6bba_05db0fb1,FN,35,36000627,37000651,True,True,6.906,1.817,29210.0,1,7.106,1.465,4,1
6bba_05db0fb1,FN,75,76001481,77001505,True,True,5.702,2.633,58917.0,1,5.658,2.725,1,1
6bba_05db0fb1,FN,59,60001162,61001181,True,True,6.858,3.471,47470.0,1,9.562,2.031,4,1
6bba_05db0fb1,FN,93,94001843,95001859,True,True,3.04,2.188,71335.0,1,9.066,5.155,7,1
6bba_05db0fb1,FN,38,39000683,40000699,True,True,5.009,1.817,31306.0,1,6.822,6.81,5,1
6bba_05db0fb1,FN,39,40000706,41000733,True,True,3.067,1.675,32198.0,1,11.893,6.663,4,1
6bba_05db0fb1,FN,48,49000908,50000928,True,False,3.565,,38884.0,1,13.363,7.708,3,1
6bba_05db0fb1,FN,28,29000450,30000470,True,True,2.031,5.887,22685.0,0,,1.285,6,1
6bba_05db0fb1,FN,30,31000493,32000518,True,True,2.471,3.04,24636.0,1,9.959,6.423,5,1
6bba_05db0fb1,FN,38,39000686,40000704,True,True,1.219,3.918,31361.0,0,,6.626,4,1
6bba_05db0fb1,FN,50,51000948,52000969,True,True,2.188,3.854,40454.0,1,6.346,7.187,3,1
6bba_05db0fb1,FN,51,52000971,53000994,True,True,6.423,6.749,41327.0,1,8.522,4.022,5,1
6bba_05db0fb1,FN,65,66001283,67001304,True,True,0.812,2.725,51543.0,0,,5.203,7,1
6bba_05db0fb1,FN,77,78001530,79001553,True,True,0.908,6.626,60440.0,0,,1.724,4,1
6bba_05db0fb1,FN,24,25000381,26000400,True,True,2.071,0.908,19868.0,1,10.164,6.954,3,2
6bba_05db0fb1,FN,70,71001380,72001396,True,True,0.575,5.297,55120.0,0,,1.817,7,1
6bba_05db0fb1,FN,21,22000338,23000356,True,True,5.297,5.76,17639.0,1,6.359,2.601,5,1
6bba_05db0fb1,FN,72,73001415,74001434,True,True,5.702,4.542,56538.0,1,5.139,3.854,6,1
6bba_05db0fb1,FN,87,88001703,89001725,True,True,2.298,1.724,66788.0,1,7.804,7.095,7,1
6bba_05db0fb1,FN,39,40000705,41000734,True,True,0.908,1.285,32195.0,1,9.959,8.216,3,1
6bba_05db0fb1,FN,93,94001830,95001849,True,True,5.511,4.143,71307.0,1,15.075,6.601,6,1
6bba_05db0fb1,FN,19,20000294,21000311,True,True,1.724,4.772,15911.0,1,5.915,9.138,2,1
6bba_05db0fb1,FN,46,47000873,48000894,True,True,3.723,2.601,37728.0,1,5.998,3.495,5,1
6bba_05db0fb1,FN,80,81001590,82001603,True,True,3.833,5.859,62363.0,1,9.884,8.306,3,1
6bba_05db0fb1,FN,92,93001821,94001835,True,True,1.675,0.812,70606.0,1,7.676,6.663,4,1
6bba_05db0fb1,FN,87,88001706,89001726,True,True,5.281,2.873,66917.0,1,13.504,9.691,2,1
6bba_05db0fb1,FN,67,68001330,69001347,False,True,,5.984,,0,,3.275,2,1
6bba_05db0fb1,FN,92,93001817,94001837,True,True,3.3,3.447,70757.0,1,6.712,9.834,3,1
6bba_05db0fb1,FN,75,76001485,77001510,True,True,3.375,1.724,58910.0,1,13.326,6.822,5,1
6bba_05db0fb1,FN,51,52000988,53001011,True,True,3.565,6.858,41714.0,0,,3.35,4,1
6bba_05db0fb1,FN,38,39000680,40000697,True,True,1.149,4.083,31214.0,1,8.789,8.326,5,1
6bba_05db0fb1,FN,92,93001827,94001845,True,True,1.219,2.071,70785.0,0,,7.095,3,1
6bba_05db0fb1,FN,52,53001011,54001035,True,True,6.858,6.626,42416.0,1,8.974,6.359,3,2
6bba_05db0fb1,FN,80,81001577,82001599,True,True,2.873,2.569,62026.0,1,6.858,6.894,5,1
6bba_05db0fb1,FN,37,38000660,39000683,True,True,3.656,5.009,30478.0,1,5.688,1.862,5,1
6bba_05db0fb1,FN,10,11000146,12000160,True,True,1.817,3.723,8413.0,1,7.279,5.688,3,1
6bba_05db0fb1,FN,49,50000928,51000949,False,True,,6.551,,0,,0.0,4,1
6bba_05db0fb1,FN,62,63001217,64001240,True,True,2.071,1.724,49666.0,1,9.725,7.369,4,2
6bba_05db0fb1,FP,38,39000680,-1,True,False,,,31214.0,1,8.789,,5,1
6bba_05db0fb1,FP,37,38000665,-1,True,False,,,30630.0,1,7.13,,4,1
6bba_05db0fb1,FP,80,81001578,-1,True,False,,,62051.0,1,7.898,,5,1
6bba_05db0fb1,FP,48,49000908,-1,True,False,,,38884.0,1,13.363,,3,1
6bba_05db0fb1,FP,46,47000873,-1,True,False,,,37728.0,1,5.998,,5,1
6bba_05db0fb1,FP,87,88001706,-1,True,False,,,66917.0,1,13.504,,2,1
6bba_05db0fb1,FP,65,66001293,-1,True,False,,,51796.0,1,5.774,,6,1
6bba_05db0fb1,FP,51,52000971,-1,True,False,,,41327.0,1,8.522,,5,1
6bba_05db0fb1,FP,84,85001653,-1,True,False,,,65053.0,1,8.145,,3,1
6bba_05db0fb1,FP,21,22000338,-1,True,False,,,17639.0,1,6.359,,5,1
6bba_05db0fb1,FP,82,83001622,-1,True,False,,,63878.0,1,5.817,,3,1
6bba_05db0fb1,FP,38,39000683,-1,True,False,,,31306.0,1,6.822,,5,1
6bba_05db0fb1,FP,30,31000492,-1,True,False,,,24456.0,1,5.155,,3,1
6bba_05db0fb1,FP,72,73001414,-1,True,False,,,56540.0,1,6.346,,4,1
6bba_05db0fb1,FP,93,94001843,-1,True,False,,,71335.0,1,9.066,,7,1
6bba_05db0fb1,FP,62,63001216,-1,True,False,,,49531.0,1,5.281,,6,1
6bba_05db0fb1,FP,63,64001239,-1,True,False,,,50182.0,1,6.08,,6,1
6bba_05db0fb1,FP,39,40000706,-1,True,False,,,32198.0,1,11.893,,4,1
6bba_05db0fb1,FP,19,20000294,-1,True,False,,,15911.0,1,5.915,,2,1
6bba_05db0fb1,FP,30,31000513,-1,True,False,,,25083.0,2,5.155,,3,1
6bba_05db0fb1,FP,25,26000400,-1,True,False,,,20663.0,1,7.888,,3,1
6bba_05db0fb1,FP,92,93001821,-1,True,False,,,70606.0,1,7.676,,4,1
6bba_05db0fb1,FP,92,93001825,-1,True,False,,,70668.0,1,8.463,,5,1
6bba_05db0fb1,FP,92,93001817,-1,True,False,,,70757.0,1,6.712,,3,1
6bba_05db0fb1,FP,80,81001577,-1,True,False,,,62026.0,1,6.858,,5,1
6bba_05db0fb1,FP,25,26000407,-1,True,False,,,20787.0,1,9.449,,3,1
6bba_05db0fb1,FP,59,60001162,-1,True,False,,,47470.0,1,9.562,,4,1
6bba_05db0fb1,FP,66,67001312,-1,True,False,,,52554.0,2,4.685,,4,1
6bba_05db0fb1,FP,35,36000627,-1,True,False,,,29210.0,1,7.106,,4,1
6bba_05db0fb1,FP,39,40000695,-1,True,False,,,31899.0,1,5.998,,4,1
6bba_05db0fb1,FP,92,93001809,-1,True,False,,,70628.0,1,12.167,,4,1
6bba_05db0fb1,FP,38,39000689,-1,True,False,,,31435.0,1,6.5,,6,1
6bba_05db0fb1,FP,38,39000688,-1,True,False,,,31429.0,1,8.145,,4,1
6bba_05db0fb1,FP,39,40000698,-1,True,False,,,32043.0,1,8.637,,2,1
6bba_05db0fb1,FP,37,38000660,-1,True,False,,,30478.0,1,5.688,,5,1
6bba_05db0fb1,FP,63,64001241,-1,True,False,,,50395.0,2,3.173,,3,1
6bba_05db0fb1,FP,50,51000957,-1,True,False,,,40741.0,1,8.835,,4,1
6bba_05db0fb1,FP,72,73001415,-1,True,False,,,56538.0,1,5.139,,6,1
6bba_05db0fb1,FP,74,75001454,-1,True,False,,,57937.0,1,4.942,,6,1
6bba_05db0fb1,FP,57,58001105,-1,True,False,,,45697.0,1,7.535,,8,1
6bba_05db0fb1,FP,80,81001590,-1,True,False,,,62363.0,1,9.884,,3,1
6bba_05db0fb1,FP,27,28000433,-1,True,False,,,22048.0,1,9.968,,2,1
6bba_05db0fb1,FP,25,26000406,-1,True,False,,,20762.0,1,7.095,,5,1
6bba_05db0fb1,FP,93,94001841,-1,True,False,,,71399.0,1,8.919,,4,1
6bba_05db0fb1,FP,87,88001703,-1,True,False,,,66788.0,1,7.804,,7,1
6bba_05db0fb1,FP,53,54001033,-1,True,False,,,43161.0,2,7.846,,2,1
6bba_05db0fb1,FP,75,76001481,-1,True,False,,,58917.0,1,5.658,,1,1
6bba_05db0fb1,FP,21,22000331,-1,True,False,,,17508.0,1,9.588,,4,1
6bba_05db0fb1,FP,67,68001322,-1,True,False,,,52910.0,2,3.094,,3,1
6bba_05db0fb1,FP,32,33000538,-1,True,False,,,26061.0,1,5.171,,5,1
6bba_05db0fb1,FP,19,20000297,-1,True,False,,,15998.0,1,5.171,,4,1
6bba_05db0fb1,FP,55,56001062,-1,True,False,,,44284.0,1,7.502,,5,1
6bba_05db0fb1,FP,93,94001830,-1,True,False,,,71307.0,1,15.075,,6,1
6bba_05db0fb1,FP,20,21000318,-1,True,False,,,16843.0,1,6.039,,4,1
6bba_05db0fb1,FP,25,26000410,-1,True,False,,,20836.0,1,9.165,,4,1
6bba_05db0fb1,FP,78,79001542,-1,True,False,,,60915.0,1,4.614,,5,1
6bba_05db0fb1,FP,30,31000493,-1,True,False,,,24636.0,1,9.959,,5,1
6bba_05db0fb1,FP,39,40000705,-1,True,False,,,32195.0,1,9.959,,3,1
6bba_05db0fb1,FP,58,59001141,-1,True,False,,,46769.0,1,6.858,,4,1
6bba_05db0fb1,FP,93,94001837,-1,True,False,,,71416.0,1,5.817,,5,1
6bba_05db0fb1,FP,55,56001073,-1,True,False,,,44481.0,2,9.475,,3,1
6bba_05db0fb1,FP,18,19000280,-1,True,False,,,15190.0,2,3.173,,2,1
6bba_05db0fb1,FP,25,26000397,-1,True,False,,,20177.0,1,7.324,,3,1
6bba_05db0fb1,FP,75,76001485,-1,True,False,,,58910.0,1,13.326,,5,1
6bba_05db0fb1,FP,22,23000356,-1,True,False,,,18497.0,1,7.93,,5,1
6bba_05db0fb1,FP,50,51000948,-1,True,False,,,40454.0,1,6.346,,3,1
6bba_05db0fb1,FP,55,56001073,-1,True,False,,,44481.0,2,7.665,,3,1
6bba_05db0fb1,FP,10,11000146,-1,True,False,,,8413.0,1,7.279,,3,1
6bba_05db0fb1,FP,29,30000470,-1,True,False,,,23511.0,1,5.76,,4,1
