dataset,error,origin,t,gt_source,gt_target,src_detected,tgt_detected,correct_in_ilp,n_pred_children,parent_to_true_um,parent_to_chosen_um,chosen_nearer,angle_true_vs_chosen_deg,angle_vel_vs_true_deg,gt_parent_n_children
44b6_0113de3b,FN,post_processing_broke_it,1,12000000075,13000000075,False,False,True,0,1.465,,,,11.9,1
44b6_0113de3b,FN,post_processing_broke_it,47,58000000003,59000000003,True,True,True,1,6.148,3.275,True,89.1,126.5,1
44b6_0113de3b,FN,post_processing_broke_it,0,11000000075,12000000075,False,False,True,0,2.188,,,,,1
44b6_0b24845f,FN,post_processing_broke_it,40,119000000036,120000000036,True,True,True,1,4.338,7.888,False,69.4,90.0,1
44b6_0b24845f,FN,post_processing_broke_it,14,93000000036,94000000036,True,True,True,1,2.071,4.824,False,81.5,101.3,1
6bba_05b6850b,FN,upstream_ilp_or_model,72,73000680,74000695,False,True,False,0,2.334,,,,44.2,1
6bba_05b6850b,FN,post_processing_broke_it,70,71000655,72000669,True,True,True,1,1.862,3.634,False,133.1,69.8,1
6bba_05b6850b,FN,post_processing_broke_it,8,9000072,10000081,True,True,True,1,8.492,1.99,True,130.1,73.3,1
6bba_05b6850b,FN,upstream_ilp_or_model,54,55000486,56000494,True,True,False,1,0.908,3.094,False,176.6,135.0,1
6bba_05b6850b,FN,upstream_ilp_or_model,78,79000758,80000770,True,True,False,0,1.675,,,,80.1,1
6bba_05b6850b,FN,upstream_ilp_or_model,75,76000720,77000733,True,True,False,1,1.862,3.98,False,116.5,54.2,1
6bba_05b6850b,FN,upstream_ilp_or_model,71,72000666,73000680,True,False,False,1,9.959,3.495,True,27.5,,1
6bba_05b6850b,FN,upstream_ilp_or_model,72,73000682,74000696,True,True,False,1,0.908,5.511,False,117.5,116.6,1
6bba_05b6850b,FN,post_processing_broke_it,64,65000591,66000604,True,True,True,1,8.226,6.359,True,128.4,144.6,1
6bba_05b6850b,FN,post_processing_broke_it,64,65000590,66000602,True,True,True,1,6.918,8.375,False,173.8,,1
6bba_05b6850b,FN,post_processing_broke_it,53,54000482,55000494,True,True,True,0,4.318,,,,,1
6bba_05b6850b,FN,upstream_ilp_or_model,0,1000010,2000017,False,True,False,0,3.495,,,,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,22,23000356,24000373,True,True,False,1,2.334,6.423,False,122.6,150.5,1
6bba_05db0fb1,FN,post_processing_broke_it,27,28000433,29000451,True,True,True,1,7.199,5.45,True,103.1,,1
6bba_05db0fb1,FN,post_processing_broke_it,62,63001216,64001239,True,True,True,1,1.724,3.565,False,173.6,13.6,1
6bba_05db0fb1,FN,post_processing_broke_it,39,40000698,41000726,True,True,True,1,5.203,4.143,True,134.8,135.4,1
6bba_05db0fb1,FN,upstream_ilp_or_model,21,22000331,23000351,True,True,False,1,4.824,5.171,False,147.2,81.5,1
6bba_05db0fb1,FN,upstream_ilp_or_model,63,64001239,65001263,True,True,False,1,1.675,4.755,False,136.5,149.0,1
6bba_05db0fb1,FN,upstream_ilp_or_model,37,38000665,39000687,True,True,False,1,2.071,5.297,False,147.4,61.9,1
6bba_05db0fb1,FN,upstream_ilp_or_model,19,20000284,21000302,True,True,False,0,7.761,,,,93.3,1
6bba_05db0fb1,FN,upstream_ilp_or_model,55,56001062,57001084,True,False,False,1,4.394,5.041,False,105.1,17.7,1
6bba_05db0fb1,FN,post_processing_broke_it,25,26000400,27000420,True,True,True,1,5.297,2.958,True,144.2,62.5,1
6bba_05db0fb1,FN,post_processing_broke_it,55,56001073,57001093,True,True,True,2,2.031,6.906,False,104.3,90.0,1
6bba_05db0fb1,FN,upstream_ilp_or_model,25,26000397,27000414,True,True,False,1,7.279,1.817,True,84.3,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,82,83001622,84001644,True,True,False,1,0.908,5.139,False,135.0,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,57,58001105,59001130,True,True,False,1,1.817,9.084,False,28.4,3.4,1
6bba_05db0fb1,FN,upstream_ilp_or_model,30,31000492,32000517,True,True,False,1,7.141,4.909,True,46.2,41.9,1
6bba_05db0fb1,FN,upstream_ilp_or_model,93,94001837,95001854,True,True,False,1,6.513,3.811,True,62.3,172.8,1
6bba_05db0fb1,FN,upstream_ilp_or_model,80,81001578,82001600,True,True,False,1,7.502,3.173,True,85.2,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,20,21000318,22000338,True,True,False,1,1.99,6.307,False,73.2,147.3,1
6bba_05db0fb1,FN,post_processing_broke_it,61,62001192,63001212,True,True,True,0,2.438,,,,93.3,1
6bba_05db0fb1,FN,upstream_ilp_or_model,38,39000688,40000705,True,True,False,1,6.81,2.334,True,117.2,77.8,1
6bba_05db0fb1,FN,post_processing_broke_it,78,79001542,80001559,True,True,True,1,0.908,3.811,False,149.1,180.0,1
6bba_05db0fb1,FN,post_processing_broke_it,38,39000689,40000706,True,True,True,1,8.522,3.04,True,40.1,72.6,1
6bba_05db0fb1,FN,post_processing_broke_it,25,26000410,27000427,True,True,True,1,4.083,5.203,False,161.4,62.9,1
6bba_05db0fb1,FN,post_processing_broke_it,93,94001841,95001860,True,True,True,1,6.513,4.394,True,108.1,157.6,1
6bba_05db0fb1,FN,upstream_ilp_or_model,33,34000581,35000604,True,False,False,0,1.465,,,,11.3,1
6bba_05db0fb1,FN,post_processing_broke_it,92,93001825,94001843,True,True,True,1,6.551,2.633,True,129.2,83.6,1
6bba_05db0fb1,FN,upstream_ilp_or_model,25,26000406,27000425,True,True,False,1,6.411,2.071,True,100.7,15.5,1
6bba_05db0fb1,FN,upstream_ilp_or_model,32,33000538,34000560,True,True,False,1,3.98,3.854,True,82.6,90.0,1
6bba_05db0fb1,FN,post_processing_broke_it,25,26000407,27000426,True,True,True,1,5.745,4.614,True,131.3,69.7,1
6bba_05db0fb1,FN,post_processing_broke_it,85,86001670,87001687,False,True,True,0,9.792,,,,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,50,51000957,52000981,True,True,False,1,5.203,5.218,False,116.0,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,56,57001084,58001105,False,True,False,0,3.094,,,,35.6,1
6bba_05db0fb1,FN,post_processing_broke_it,34,35000604,36000627,False,True,True,0,0.0,,,,,1
6bba_05db0fb1,FN,post_processing_broke_it,84,85001653,86001670,True,False,True,1,0.0,8.145,False,,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,72,73001414,74001433,True,True,False,1,4.667,1.99,True,141.4,29.5,1
6bba_05db0fb1,FN,upstream_ilp_or_model,19,20000297,21000318,True,True,False,1,2.958,3.833,False,98.4,52.4,1
6bba_05db0fb1,FN,upstream_ilp_or_model,58,59001141,60001162,True,True,False,1,0.406,7.13,False,46.9,45.0,1
6bba_05db0fb1,FN,upstream_ilp_or_model,65,66001293,67001312,True,True,False,1,2.031,5.585,False,85.0,,1
6bba_05db0fb1,FN,post_processing_broke_it,92,93001809,94001830,True,True,True,1,5.025,7.38,False,157.1,19.7,1
6bba_05db0fb1,FN,post_processing_broke_it,29,30000470,31000491,True,True,True,1,1.817,5.76,False,80.9,64.9,1
6bba_05db0fb1,FN,post_processing_broke_it,74,75001454,76001475,True,True,True,1,0.0,4.942,False,,,1
6bba_05db0fb1,FN,post_processing_broke_it,39,40000695,41000719,True,True,True,1,6.214,4.375,True,66.4,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,35,36000627,37000651,True,True,False,1,1.465,6.359,False,115.2,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,75,76001481,77001505,True,True,False,1,2.725,7.324,False,43.3,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,59,60001162,61001181,True,True,False,1,2.031,7.589,False,164.5,90.0,1
6bba_05db0fb1,FN,post_processing_broke_it,93,94001843,95001859,True,True,True,1,5.155,4.241,True,149.4,167.8,1
6bba_05db0fb1,FN,post_processing_broke_it,38,39000683,40000699,True,True,True,1,6.81,5.343,True,67.0,26.1,1
6bba_05db0fb1,FN,post_processing_broke_it,39,40000706,41000733,True,True,True,1,6.663,5.45,True,158.0,151.4,1
6bba_05db0fb1,FN,upstream_ilp_or_model,48,49000908,50000928,True,False,False,1,7.708,5.658,True,177.4,115.1,1
6bba_05db0fb1,FN,upstream_ilp_or_model,28,29000450,30000470,True,True,False,0,1.285,,,,34.4,1
6bba_05db0fb1,FN,post_processing_broke_it,30,31000493,32000518,True,True,True,1,6.423,3.656,True,161.6,42.5,1
6bba_05db0fb1,FN,post_processing_broke_it,38,39000686,40000704,True,True,True,0,6.626,,,,79.4,1
6bba_05db0fb1,FN,upstream_ilp_or_model,50,51000948,52000969,True,True,False,1,7.187,4.083,True,61.4,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,51,52000971,53000994,True,True,False,1,4.022,5.887,False,117.4,47.1,1
6bba_05db0fb1,FN,upstream_ilp_or_model,65,66001283,67001304,True,True,False,0,5.203,,,,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,77,78001530,79001553,True,True,False,0,1.724,,,,103.6,1
6bba_05db0fb1,FN,upstream_ilp_or_model,24,25000381,26000400,True,True,False,1,6.954,3.375,True,158.2,35.1,2
6bba_05db0fb1,FN,upstream_ilp_or_model,70,71001380,72001396,True,True,False,0,1.817,,,,53.1,1
6bba_05db0fb1,FN,upstream_ilp_or_model,21,22000338,23000356,True,True,False,1,2.601,7.199,False,61.0,63.5,1
6bba_05db0fb1,FN,post_processing_broke_it,72,73001415,74001434,True,True,True,1,3.854,6.423,False,53.1,45.0,1
6bba_05db0fb1,FN,upstream_ilp_or_model,87,88001703,89001725,True,True,False,1,7.095,3.35,True,89.2,27.8,1
6bba_05db0fb1,FN,post_processing_broke_it,39,40000705,41000734,True,True,True,1,8.216,1.817,True,162.0,160.7,1
6bba_05db0fb1,FN,post_processing_broke_it,93,94001830,95001849,True,True,True,1,6.601,8.647,False,162.6,170.1,1
6bba_05db0fb1,FN,post_processing_broke_it,19,20000294,21000311,True,True,True,1,9.138,3.679,True,22.6,48.2,1
6bba_05db0fb1,FN,upstream_ilp_or_model,46,47000873,48000894,True,True,False,1,3.495,3.35,True,122.4,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,80,81001590,82001603,True,True,False,1,8.306,3.495,True,106.5,,1
6bba_05db0fb1,FN,post_processing_broke_it,92,93001821,94001835,True,True,True,1,6.663,3.634,True,91.6,79.5,1
6bba_05db0fb1,FN,upstream_ilp_or_model,87,88001706,89001726,True,True,False,1,9.691,5.42,True,124.2,26.2,1
6bba_05db0fb1,FN,upstream_ilp_or_model,67,68001330,69001347,False,True,False,0,3.275,,,,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,92,93001817,94001837,True,True,False,1,9.834,3.275,True,14.4,160.4,1
6bba_05db0fb1,FN,upstream_ilp_or_model,75,76001485,77001510,True,True,False,1,6.822,6.626,True,164.6,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,51,52000988,53001011,True,True,False,0,3.35,,,,88.0,1
6bba_05db0fb1,FN,post_processing_broke_it,38,39000680,40000697,True,True,True,1,8.326,2.298,True,94.0,79.9,1
6bba_05db0fb1,FN,post_processing_broke_it,92,93001827,94001845,True,True,True,0,7.095,,,,170.4,1
6bba_05db0fb1,FN,upstream_ilp_or_model,52,53001011,54001035,True,True,False,1,6.359,6.513,False,88.4,96.2,2
6bba_05db0fb1,FN,upstream_ilp_or_model,80,81001577,82001599,True,True,False,1,6.894,5.218,True,67.3,,1
6bba_05db0fb1,FN,post_processing_broke_it,37,38000660,39000683,True,True,True,1,1.862,4.755,False,110.7,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,10,11000146,12000160,True,True,False,1,5.688,2.601,True,117.9,54.0,1
6bba_05db0fb1,FN,upstream_ilp_or_model,49,50000928,51000949,False,True,False,0,0.0,,,,,1
6bba_05db0fb1,FN,upstream_ilp_or_model,62,63001217,64001240,True,True,False,1,7.369,2.633,True,149.2,,2
