dataset,error,origin,t,gt_source,gt_target,src_detected,tgt_detected,correct_in_ilp,n_pred_children,parent_to_true_um,parent_to_chosen_um,chosen_nearer,angle_true_vs_chosen_deg,angle_vel_vs_true_deg,gt_parent_n_children,ilp_has_prob,p_true_ilp,p_chosen_ilp,p_chosen_final,prob_margin,true_edge_in_ilp,chosen_edge_in_ilp,src_ilp_id,tgt_ilp_id,chosen_ilp_id,p_true_model,p_chosen_model,rank_true_among_sources,n_sources_in_pair,above_threshold,died_where
44b6_0113de3b,FN,post_processing_broke_it,1,12000000075,13000000075,False,False,True,0,1.465,,,,11.9,1,True,0.9441730976104736,,,,True,False,443.0,671.0,,0.9443359375,,1.0,224.0,True,survived_to_ilp
44b6_0113de3b,FN,post_processing_broke_it,47,58000000003,59000000003,True,True,True,1,6.148,3.275,True,89.1,126.5,1,True,0.9904009699821472,,,,True,False,11465.0,11741.0,11726.0,0.990234375,0.00518035888671875,1.0,272.0,True,survived_to_ilp
44b6_0113de3b,FN,post_processing_broke_it,0,11000000075,12000000075,False,False,True,0,2.188,,,,,1,True,0.9648036360740662,,,,True,False,219.0,443.0,,0.96484375,,1.0,221.0,True,survived_to_ilp
44b6_0b24845f,FN,post_processing_broke_it,40,119000000036,120000000036,True,True,True,1,4.338,7.888,False,69.4,90.0,1,True,0.882266640663147,,,,True,False,13045.0,13335.0,13328.0,0.88232421875,0.70947265625,1.0,311.0,True,survived_to_ilp
44b6_0b24845f,FN,post_processing_broke_it,14,93000000036,94000000036,True,True,True,1,2.071,4.824,False,81.5,101.3,1,True,0.934184193611145,,,,True,False,5346.0,5673.0,5691.0,0.93408203125,0.85009765625,1.0,336.0,True,survived_to_ilp
6bba_05b6850b,FN,upstream_ilp_or_model,72,73000680,74000695,False,True,False,0,2.334,,,,44.2,1,True,,,,,False,False,,,,,,,,,
6bba_05b6850b,FN,post_processing_broke_it,70,71000655,72000669,True,True,True,1,1.862,3.634,False,133.1,69.8,1,True,0.8847578763961792,0.8847578763961792,,0.0,True,True,5076.0,5148.0,5148.0,0.884765625,0.884765625,1.0,74.0,True,survived_to_ilp
6bba_05b6850b,FN,post_processing_broke_it,8,9000072,10000081,True,True,True,1,8.492,1.99,True,130.1,73.3,1,True,0.9845554232597351,,,,True,False,654.0,721.0,733.0,0.984375,0.2841796875,1.0,71.0,True,survived_to_ilp
6bba_05b6850b,FN,upstream_ilp_or_model,54,55000486,56000494,True,True,False,1,0.908,3.094,False,176.6,135.0,1,True,,0.6860376000404358,,,False,True,3794.0,3878.0,3883.0,0.310791015625,0.68603515625,2.0,90.0,False,below_threshold
6bba_05b6850b,FN,upstream_ilp_or_model,78,79000758,80000770,True,True,False,0,1.675,,,,80.1,1,True,,,,,False,False,5657.0,5724.0,,0.431396484375,,2.0,71.0,False,below_threshold
