dataset,parent_to_true_um,angle_vel_true_deg,n_gt_children,p_true_ilp,t,src_ilp_id,tgt_ilp_id,p_true_model,rank_true_among_sources,n_sources_in_pair
44b6_0113de3b,2.333728575156074,28.264489545044984,1,0.9610875844955444,59,14942.0,15239.0,0.9609375,1.0,290.0
44b6_0113de3b,4.0827619710803615,91.98863253284696,1,0.9854965806007385,49,12020.0,12296.0,0.9853515625,1.0,271.0
44b6_0113de3b,3.72334275215162,,1,0.9349917769432068,27,6194.0,6443.0,0.93505859375,1.0,240.0
44b6_0113de3b,0.40625,100.02498786207575,1,0.9244844317436218,37,8790.0,9048.0,0.92431640625,1.0,260.0
44b6_0113de3b,1.86167137607581,22.20765429859646,1,0.9830570816993713,71,18478.0,18772.0,0.98291015625,1.0,288.0
44b6_0113de3b,2.0714766773970688,20.446413905221654,1,0.9579646587371826,42,10086.0,10353.0,0.9580078125,1.0,259.0
44b6_0113de3b,2.7252078475778685,66.8119864254182,1,0.9671876430511475,32,7463.0,7724.0,0.96728515625,1.0,257.0
44b6_0113de3b,1.86167137607581,28.560825217811256,1,0.9884606599807739,57,14353.0,14640.0,0.98828125,1.0,282.0
44b6_0113de3b,2.333728575156074,12.90167943645999,1,0.9900240302085876,52,12875.0,13179.0,0.990234375,1.0,295.0
44b6_0113de3b,3.2752922102462856,46.61689310503679,1,0.9900416731834412,67,17309.0,17603.0,0.990234375,1.0,286.0
44b6_0113de3b,1.284675299443404,49.76364169072618,1,0.9878548979759216,62,15837.0,16126.0,0.98779296875,1.0,297.0
44b6_0113de3b,2.1877232028983924,61.74268831149623,1,0.9553790092468262,35,8255.0,8526.0,0.95556640625,1.0,265.0
44b6_0113de3b,1.1490485194281397,76.3669777746336,1,0.9901114106178284,74,19349.0,19626.0,0.990234375,1.0,284.0
44b6_0113de3b,3.8540258983302125,12.724355685422363,1,0.9466791152954102,30,6951.0,7206.0,0.94677734375,1.0,251.0
44b6_0113de3b,6.724634051381532,24.08220272703551,1,0.9595990777015686,45,10907.0,11188.0,0.95947265625,1.0,266.0
44b6_0113de3b,3.040096626753827,40.69639215113094,1,0.9949132204055786,69,17894.0,18183.0,0.9951171875,1.0,285.0
44b6_0113de3b,1.86167137607581,35.70840231807213,1,0.9877467155456543,68,17603.0,17894.0,0.98779296875,1.0,287.0
44b6_0113de3b,1.6750116604071745,60.302874828953506,1,0.9329490065574646,40,9571.0,9828.0,0.93310546875,1.0,254.0
44b6_0113de3b,2.7252078475778685,49.39870535499553,1,0.9970494508743286,55,13774.0,14067.0,0.9970703125,1.0,285.0
44b6_0113de3b,4.0625,126.86989764584402,1,0.9385808706283569,38,9048.0,9310.0,0.9384765625,1.0,255.0
44b6_0113de3b,3.447145558284419,12.24366783546107,1,0.9706722497940063,28,6443.0,6695.0,0.970703125,1.0,240.0
44b6_0113de3b,7.814374775053984,163.13601515113564,1,0.9756639003753662,50,12296.0,12573.0,0.9755859375,1.0,269.0
44b6_0113de3b,3.300390601883359,29.49620849656643,1,0.9569817185401917,65,16723.0,17017.0,0.95703125,1.0,290.0
44b6_0113de3b,1.8168052317185792,12.604382648379175,1,0.9865431785583496,72,18772.0,19057.0,0.986328125,1.0,285.0
44b6_0113de3b,2.1877232028983924,32.81120602934053,1,0.9865598678588867,60,15239.0,15537.0,0.986328125,1.0,291.0
44b6_0113de3b,3.8540258983302125,64.89590974977861,1,0.9729253649711609,33,7724.0,7989.0,0.97314453125,1.0,258.0
44b6_0113de3b,3.494694639736067,86.03559396403553,1,0.9928575754165649,48,11741.0,12020.0,0.99267578125,1.0,273.0
44b6_0113de3b,2.333728575156074,69.17103516203332,1,0.9683904647827148,36,8526.0,8790.0,0.96826171875,1.0,261.0
44b6_0113de3b,5.138701197773616,14.963217433307127,1,0.9820780158042908,58,14640.0,14942.0,0.98193359375,1.0,285.0
44b6_0113de3b,4.614113030962723,28.155171687053933,1,0.9550953507423401,31,7206.0,7463.0,0.955078125,1.0,254.0
44b6_0113de3b,6.410516871711672,16.065591422225015,1,0.9829502105712891,46,11188.0,11465.0,0.98291015625,1.0,272.0
44b6_0113de3b,3.374565944310468,42.95426520245598,1,0.9754823446273804,43,10353.0,10633.0,0.9755859375,1.0,267.0
44b6_0113de3b,3.65625,66.15736397620763,1,0.9406991004943848,41,9828.0,10086.0,0.94091796875,1.0,255.0
44b6_0113de3b,2.03125,55.30484646876604,1,0.9786725044250488,63,16126.0,16428.0,0.978515625,1.0,285.0
44b6_0113de3b,4.4502457797294745,22.82699023521975,1,0.9926623106002808,53,13179.0,13484.0,0.99267578125,1.0,296.0
44b6_0113de3b,3.917733121653388,82.87758582104647,1,0.9890152812004089,51,12573.0,12875.0,0.9892578125,1.0,294.0
44b6_0113de3b,3.494694639736067,6.478353972400488,1,0.9800710082054138,44,10633.0,10907.0,0.97998046875,1.0,270.0
44b6_0113de3b,2.0714766773970688,7.1250163489018075,1,0.9743272662162781,34,7989.0,8255.0,0.97412109375,1.0,262.0
44b6_0113de3b,2.2980970388562794,19.106605350869078,1,0.9915351867675781,70,18183.0,18478.0,0.99169921875,1.0,289.0
44b6_0113de3b,1.8168052317185792,66.42182152179818,1,0.9817044734954834,56,14067.0,14353.0,0.98193359375,1.0,288.0
44b6_0113de3b,2.4375,26.565051177077994,1,0.9900811314582825,73,19057.0,19349.0,0.990234375,1.0,286.0
44b6_0113de3b,3.350023320814349,66.51389245496905,1,0.9944039583206177,54,13484.0,13774.0,0.99462890625,1.0,290.0
44b6_0113de3b,4.0827619710803615,23.840128854959865,1,0.9805964231491089,29,6695.0,6951.0,0.98046875,1.0,250.0
44b6_0113de3b,3.374565944310468,45.8556636723969,1,0.9652659296989441,66,17017.0,17309.0,0.96533203125,1.0,292.0
44b6_0113de3b,4.021669817998489,18.278471366897346,1,0.9875739216804504,64,16428.0,16723.0,0.98779296875,1.0,295.0
44b6_0113de3b,2.1877232028983924,21.80140948635181,1,0.9345440864562988,39,9310.0,9571.0,0.9345703125,1.0,256.0
44b6_0113de3b,2.1877232028983924,43.60281897270363,1,0.9934076070785522,61,15537.0,15837.0,0.9931640625,1.0,292.0
44b6_0b24845f,2.9295104113144914,90.0,1,,20,7307.0,,,,
44b6_0b24845f,1.86167137607581,10.163203369476319,1,0.9847809076309204,44,14141.0,14443.0,0.98486328125,1.0,276.0
44b6_0b24845f,2.4375,31.8061000193785,1,0.6967295408248901,15,5673.0,6012.0,0.69677734375,1.0,343.0
44b6_0b24845f,2.632800908728193,5.0134749961030085,1,0.9700460433959961,30,10146.0,10405.0,0.97021484375,1.0,271.0
44b6_0b24845f,1.6750116604071745,30.029474080019895,1,0.9778239727020264,25,8696.0,8984.0,0.97802734375,1.0,294.0
44b6_0b24845f,0.9084026158592896,60.692698806934786,1,0.9631776809692383,35,11470.0,11793.0,0.96337890625,1.0,326.0
44b6_0b24845f,2.333728575156074,21.745179173516373,1,0.7710232734680176,18,6682.0,7016.0,0.77099609375,1.0,352.0
44b6_0b24845f,2.0714766773970688,106.10211375198602,1,0.9373596906661987,44,14025.0,14313.0,0.9375,1.0,276.0
44b6_0b24845f,0.0,,1,0.9457249641418457,42,13504.0,13775.0,0.94580078125,1.0,269.0
44b6_0b24845f,1.7235727791422095,166.36697777463363,1,0.9192512631416321,41,13198.0,13504.0,0.91943359375,1.0,307.0
44b6_0b24845f,0.9084026158592896,14.036243467926484,1,0.9700268507003784,28,9538.0,9855.0,0.97021484375,1.0,296.0
44b6_0b24845f,5.154734625807618,26.729368602848048,1,0.9329692125320435,41,13335.0,13621.0,0.93310546875,1.0,307.0
44b6_0b24845f,2.333728575156074,38.26016778348882,1,0.961566686630249,49,15569.0,15823.0,0.96142578125,1.0,265.0
44b6_0b24845f,1.6750116604071745,15.708637829015716,1,0.9474305510520935,40,12894.0,13198.0,0.947265625,1.0,311.0
44b6_0b24845f,0.9084026158592896,71.50582037526348,1,0.9791101813316345,42,13621.0,13882.0,0.97900390625,1.0,269.0
44b6_0b24845f,2.0714766773970688,84.96836277827504,1,0.9664063453674316,38,12432.0,12736.0,0.96630859375,1.0,319.0
44b6_0b24845f,0.40625,62.06164727039765,1,,13,4996.0,5346.0,0.3369140625,2.0,314.0
44b6_0b24845f,1.86167137607581,21.6259722854344,1,0.9649709463119507,33,10900.0,11181.0,0.96484375,1.0,242.0
44b6_0b24845f,3.300390601883359,32.3922214955795,1,0.9295581579208374,23,8147.0,8420.0,0.9296875,1.0,320.0
44b6_0b24845f,1.1490485194281397,62.42495228952325,1,0.9723972082138062,45,14443.0,14733.0,0.97216796875,1.0,310.0
44b6_0b24845f,2.4375,,1,0.8810064792633057,11,4388.0,4687.0,0.880859375,1.0,396.0
44b6_0b24845f,2.9575446425202108,7.895142105045824,1,,21,,7849.0,,,
44b6_0b24845f,0.9084026158592896,116.010063777574,1,0.9010342359542847,45,14313.0,14604.0,0.90087890625,1.0,310.0
44b6_0b24845f,0.9084026158592896,90.0,1,0.9713837504386902,47,14890.0,15153.0,0.97119140625,1.0,266.0
44b6_0b24845f,1.625,90.0,1,0.9264805912971497,46,14604.0,14890.0,0.92626953125,1.0,270.0
44b6_0b24845f,2.7252078475778685,37.340362293841316,1,0.7438652515411377,16,6012.0,6334.0,0.74365234375,1.0,357.0
44b6_0b24845f,1.86167137607581,32.66997331820362,1,0.9773696064949036,31,10405.0,10641.0,0.9775390625,1.0,269.0
44b6_0b24845f,1.86167137607581,81.12360491902666,1,0.9718756079673767,46,14733.0,15017.0,0.9716796875,1.0,270.0
44b6_0b24845f,0.9084026158592896,60.7940677526006,1,0.979272186756134,47,15017.0,15284.0,0.9794921875,1.0,266.0
