base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
795,286,,265,21,19.344008189180148,a493c6d57750bc5504d8e9ee2f93a9d2521d44c6f158010e418ce861c1c08959,166,cost-neutral,0,True,961,286,,265,21,19.344008189180148,d487c91dff0013bc4c288da52f3170497577a836bf5afa56fe52190dafa5ee1a,0.0,task001
12833,14285,,14060,225,15.433034685335127,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,-56,cost-neutral,0,True,12777,14285,,14060,225,15.433034685335127,1582c948783e41f38eea886c759bf5140b3040d56febda7295093bee92614fd3,0.0,task002
1309,260,,227,33,19.439318368984473,aafbad07e8d682d538c1dce9a95646f6c6f10c46bdab18dfa205ae42028ae95b,406,cost-neutral,0,True,1715,260,,227,33,19.439318368984473,ce439576b2a69ca0414614dcc497b6275600509ccf319ee21e6dbcbf66c87b2b,0.0,task003
1433,4866,,4772,94,16.509972476656532,dcd99dba776b71d86ab54a7d7d9b008d8fe7b9cda264d5347d3458bcfdf84409,558,cost-neutral,0,True,1991,4866,,4772,94,16.509972476656532,5bf1bab82824f2b5b17ff8a877b6526992ba1d98aa9e2032d8515cc50167a78e,0.0,task004
877,153,,126,27,19.969562078607566,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,85,cost-neutral,0,True,962,153,,126,27,19.969562078607566,f39b2f4a6ffaa2695fce24c3e39593e6f4bef24b4508d3dcf46fbad919db1a80,0.0,task006
1525,318,,64,254,19.23794861721982,df7ddffdefd8d1f168424610c67e41dcbc66e7251fc7d35e61f2aa883f311ad9,275,cost-neutral,0,True,1800,318,,64,254,19.23794861721982,967ce57c80256042ad4323b37da8c9dfb03c19e0342846ffd84cee7c7651146f,0.0,task011
2240,2251,,2063,188,17.28087015909327,4696a6d5e8de2cf4cd34839a89ef503275e80ad6ad0c722deaf67971122976c6,1136,cost-neutral,0,True,3376,2251,,2063,188,17.28087015909327,25987887d5e0b384b4918b5395b4b8097690267eb4f58ad17e3805e6975a6217,0.0,task012
2325,1424,,1361,63,17.738774908028077,b5f1e5c4871cbd88797e8e037f1f73175cfca71bfc303ea21465c9310ab36e9b,1695,cost-neutral,0,True,4020,1424,,1361,63,17.738774908028077,3621cf633b2ffd4ba5f038c219c474da0b15c11b34fde0ce610c5bde4a2f1d0a,0.0,task013
3774,900,,0,900,18.197605236675688,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,29,cost-neutral,0,True,3803,900,,0,900,18.197605236675688,97029b30fcbd2f6c259ddd22d29caf50f4205c7e521604e920053ff9cc485a50,0.0,task015
158,10,,0,10,22.697414907005953,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,16,cost-neutral,0,True,174,10,,0,10,22.697414907005953,0906e52eb5772517bf371fcea4963ef920f1c6dae8800a6c8ebd61621b0f232a,0.0,task016
