base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,different,donor_bytes,donor_error,donor_sha256,task
12833,14285,,14060,225,15.433034685335127,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,-575,donor-unscorable,True,12258,ValueError: network performance could not be measured,066d62334d2b9e97262c1555c625fce9382711bc6123da8167d257264e733eba,task002
1433,4866,,4772,94,16.509972476656532,dcd99dba776b71d86ab54a7d7d9b008d8fe7b9cda264d5347d3458bcfdf84409,10825,donor-unscorable,True,12258,ValueError: network performance could not be measured,c340e5ee80a20f3ec5c9cfe48e24591e206c721806af7ed9a01a291f5db5fe3d,task004
5096,,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:Conv, node name: safe_name_49): [ShapeInferenceError] Attribute pads must not contain negative values
",,,,bae6bbb7c3e2d4ce84d64b7470977f93caf8dce42eebb586cc1502db851746a2,7162,both-unscorable,True,12258,ValueError: network performance could not be measured,3cb007d6b4fa54f5d5b82faf1d73293001c166dd03eac1c0f90a8934c1bc405c,task005
840,127,,0,127,20.15581291354141,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,11418,donor-unscorable,True,12258,ValueError: network performance could not be measured,09aa0b98d954404eb38d265683354374038fde5bbac8e48c963a06ea20413182,task007
7009,2743,,2654,89,17.083192509062396,e66d88084736e122ba21e47a495c82894d22ca03dafb790748455fa9abab739b,5249,donor-unscorable,True,12258,ValueError: network performance could not be measured,320580bfc34a7f4c1c65c8e3075b7d804b428505822c1d220acbeca24715b74c,task008
1874,6510,,6349,161,16.218905264797385,0c2da4395baf21c989749a2b73efc99da709c27b8ad54ea4dec5241a66a848aa,10384,donor-unscorable,True,12258,ValueError: network performance could not be measured,567b4460b84395497ec40dbede6cd95d3fbed696c7be53633103fb14bd1f3eb2,task009
1491,1002,,670,332,18.09024671835519,3f065a8894aa271eaf4c83431e8eb7933593a175bc744ed18abe31795ba8a1bd,10767,donor-unscorable,True,12258,ValueError: network performance could not be measured,8bf779e927e9ea0f70dab426833890c7603a4bdc7d25d9a26543f6b9079116b0,task010
1525,318,,64,254,19.23794861721982,df7ddffdefd8d1f168424610c67e41dcbc66e7251fc7d35e61f2aa883f311ad9,10733,donor-unscorable,True,12258,ValueError: network performance could not be measured,4d3e2348e04986245f125499ce5ca27af86940f30637c2f3f1abc5a7d8731fa7,task011
2240,2251,,2063,188,17.28087015909327,4696a6d5e8de2cf4cd34839a89ef503275e80ad6ad0c722deaf67971122976c6,10018,donor-unscorable,True,12258,ValueError: network performance could not be measured,a0ad4682ccef361037088b091d8ccbec2ed6d5da041f234d60b9637da0b1db0d,task012
2325,1424,,1361,63,17.738774908028077,b5f1e5c4871cbd88797e8e037f1f73175cfca71bfc303ea21465c9310ab36e9b,9933,donor-unscorable,True,12258,ValueError: network performance could not be measured,a02ae2c10a620c7da544e406f7a5ba5f5aede1dbbb5d51ec95fc431f40704f74,task013
3774,900,,0,900,18.197605236675688,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,8484,donor-unscorable,True,12258,ValueError: network performance could not be measured,ced53489a195321678f2b6db4caacd819bd999f31386f9acba0fed61d3928153,task015
158,10,,0,10,22.697414907005953,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,12100,donor-unscorable,True,12258,ValueError: network performance could not be measured,9d3fd7a64deab9f6982a2ba7459c4ee36fc83ce0ce0e41f8a09fb50d5c73a813,task016
6229,6453,,4749,1704,16.22769958206416,611d383bff27797717269b900f3b84ea496ccc1f52e10daeaee74bc890b37d7a,6029,donor-unscorable,True,12258,ValueError: network performance could not be measured,13a8162b60062a0f3981dac3d03fc792b63c62c40ad3e2e20d58015cf4bbbfd6,task017
73252,,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:Conv, node name: safe_name_50): [ShapeInferenceError] Attribute pads must not contain negative values
",,,,3396a602b5365d7965ad29c7d73fc23a5e7bdc93cd85d57813320dad74d93627,-60994,both-unscorable,True,12258,ValueError: network performance could not be measured,39bcb93642982a7f86e3ebf4d021b7b3895c8c531ad92a09bd2205a90edb064a,task018
3335,1256,,1104,152,17.864312652971854,f7db49fb30f6b2eff78ce6c117efd540906d9d1a5fe12062ca9dcf9bbb6ee009,8923,donor-unscorable,True,12258,ValueError: network performance could not be measured,50f810e1c1a9d3f9a9b7408b0da3efa744995b27abee75514b26cb791e6b87ec,task020
17654,8222,,8083,139,15.985431232542176,8579fe77932cd6fc6d0739d167bd55bfdbe66154d18fe7c73d32736324982b33,-5396,donor-unscorable,True,12258,ValueError: network performance could not be measured,430cf8bbbb2c310bd075338e17a35f2c057135fa215b31c8f999b0542474875a,task023
492,56,,0,56,20.97464830926485,9090d7fc66fcf617eb83597d5b2020a5bfb9affae3720e3e34eb0391a8abca35,11766,donor-unscorable,True,12258,ValueError: network performance could not be measured,e5a8c793e2d9339774a02875b9d80b47f6b1b6fc1c2668b734c718524d91919d,task024
4789,9817,,9684,133,15.808129144307479,eae08c0b7635357f2f535ecd2507599d8175f05c9b8dbb16daf6fd2a7de92c7a,7469,donor-unscorable,True,12258,ValueError: network performance could not be measured,11445022a481da103277c04bb05b11869c76b49c7c8ceae72b8355a27a90a18f,task025
1971,1308,,1262,46,17.823745467982857,30e7fa87454ff24fca70334e11d75c801f4803ddeecd59dde50802169e6b27ff,10287,donor-unscorable,True,12258,ValueError: network performance could not be measured,e5301eac66c4187b8d9c1aff48df17979af8a371ca35954f0da72d8030b21145,task027
600,99,,0,99,20.40488014986541,3a9df8ceb7069f91d2d26f9296eff2ab67806300d24acd522211f3a804aed65c,11658,donor-unscorable,True,12258,ValueError: network performance could not be measured,ffeb0062698f58520d037faccf022063b47f0645cf78cbda8eb8e159e85bb928,task028
1429,1460,,1330,130,17.713808285297617,de6d82827b7068be75f5fc0212570b094e090b2fc7edb01a5a1773293028df3b,10829,donor-unscorable,True,12258,ValueError: network performance could not be measured,b7780d2545eed39d6277ff8a75ed1398f9a39fc22b78fc70e39ddf349ac42edd,task030
3828,910,,0,910,18.186555400489105,ceb4063280bf7df98b687efafb01b5fdedc714737f65b70a50c4a70a941c330a,8430,donor-unscorable,True,12258,ValueError: network performance could not be measured,ee034edf50daf22c8ed024de6d4902064d2a5c4513b819c71e520dad1febd74e,task032
1426,268,,0,268,19.409013019489144,c13e3c334a9eec2943a0bbcd3ee8f106ef26ab34fc5abc8dedddedce13a12db2,10832,donor-unscorable,True,12258,ValueError: network performance could not be measured,dfb5814845ef2a9644003d81bc35c9915eba9c7a1664eea919679169cb901bef,task033
1598,1294,,1109,185,17.834506524939155,5551a37bdb0d83b04d8de7a5fe217571757e1aff4216f14d263fcfa42cdc2cce,10660,donor-unscorable,True,12258,ValueError: network performance could not be measured,3b8ec0fe793a18d8828d53476f069eddd455e893ad9e72acbf160219de333c59,task034
6483,1901,,1442,459,17.449864657511572,5975da31bcc5cfd8ad72b3b0a1558614c901b17f0aaeceaceece1fa0211972e0,5775,donor-unscorable,True,12258,ValueError: network performance could not be measured,4ad2da50f77ad6b9d77a2c0ab478a1cf29ae0d43f8c7d4b985420bbdaca040f0,task035
3481,2465,,2268,197,17.19005291352321,3674a3fc6b29cf8c91e8d50d8a5acf0ae0520053291e7362532f8ab443ec11fa,8777,donor-unscorable,True,12258,ValueError: network performance could not be measured,39108e6449c2c7609bca9a23c840945612a0db837fa126488b2b64a0284e403a,task037
607,80,,0,80,20.61797336532612,01ba84e2bca7236e35b1b674ebe44e86b809ffb65de9c8e29e2f3c6d39f44127,11651,donor-unscorable,True,12258,ValueError: network performance could not be measured,82dfce0669871eb3bb433ae318e3df8de0bea98087e7f1d73d205873f5fba7c8,task040
1354,1787,,1730,57,17.511706484840573,9fb1e714e20f32f128f2e0d784592ded91f0fa89645787d11e687c65bff6a0eb,10904,donor-unscorable,True,12258,ValueError: network performance could not be measured,606957e3a607bb82c5e4555d493fff4288956006be489e6ba1a14bc3f07e680e,task041
1830,3110,,2792,318,16.95762199482672,750708a9a5332fbd8c065a17348a4b924a31c866117c6b9319e896e0ab2b652c,10428,donor-unscorable,True,12258,ValueError: network performance could not be measured,287062054beddafac57c1c6b0820a0183f46a31630e22eb8a6fb191ea7552777,task042
1786,793,,588,205,18.324176778365153,f779cd25faf94b2cb7aba327fd656159c8993ea8751767ae384105af8f1dc153,10472,donor-unscorable,True,12258,ValueError: network performance could not be measured,f96152444c37690b6a00d83b71c018bbbb96d45563bd24b2324cd93f1bbd46fb,task043
14822,3208,,3060,148,16.926597031013593,2fa9663f905581fb769ec0a5e6eaa9c0e235bfaf8b00ee5c582ddc35889e42a7,-2564,donor-unscorable,True,12258,ValueError: network performance could not be measured,1f17a25b402a532855d4ed9c45f7d548c87f6a59c4585b3f559a47fcdf76dace,task044
631,90,,0,90,20.500190329669735,151314a926f7a39e4ab3bef82481b135f2e5382cef065996d7d59c1a6115db84,11627,donor-unscorable,True,12258,ValueError: network performance could not be measured,ba1eb168ebb69198de80249e67483e6befd6c6a173b71dd2ad81675b16d60f25,task045
2305,862,,826,36,18.240744729336306,7a9b76d46fa67b896ead9c80c3c13e8a408bb0d969aa6c4054fb74c6bb0caf58,9953,donor-unscorable,True,12258,ValueError: network performance could not be measured,f2bcaa76aeb61a81fbcaad31db0f39a7f776971e5352770a8d942734cdb7fc9d,task047
875,3849,,3825,24,16.744431346716254,1dce119c54e7b1968a46a6d8ef8e6ef0957d7bb1fa78d57c57f9ba5ded39e600,11383,donor-unscorable,True,12258,ValueError: network performance could not be measured,818c074618eebb13e3b803792cd2a83a14a2d61b0ce10daa9ab05f9ad9f3363d,task050
2872,1744,,1643,101,17.536063395531073,8578b1dd81b132ec7a6e9a5601457498cc26610c33c3a954bfea8271fbf3ae24,9386,donor-unscorable,True,12258,ValueError: network performance could not be measured,8f8575e6e491f8cafb1454817789b994a04739b2f0e3dd1fc7e85e754d864571,task051
355,30,,0,30,21.598802618337846,299b9dccde06d89ecc0568cb74051282810f9debde90b3fa71efc6faa6879067,11903,donor-unscorable,True,12258,ValueError: network performance could not be measured,d5e220a2e46d5abf1e4700de2759bfcc881c3e7fd2edacd1ca7e83a5069bedbe,task052
175,30,,0,30,21.598802618337846,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,12083,donor-unscorable,True,12258,ValueError: network performance could not be measured,6851bf5e405c40698ff668e32dc1c07ec22b520f0654a8f8a2e2dfa249c16f75,task053
23797,24717,,24466,251,14.8847534550163,3cc9eeb900734780c94fb4c36cf36edb3f27e6e2c15cd6a0e68e60b61adc16b6,-11539,donor-unscorable,True,12258,ValueError: network performance could not be measured,757415a81c71d31d855f778c7bafe412cb5dd06f7c21b29a757bf75919339ec5,task054
1511,1767,,1560,207,17.5229615276803,4b36fa4724eb177fadc7c283b862f0ffbb06d1e83ea429a212bca1080ec21a1e,10747,donor-unscorable,True,12258,ValueError: network performance could not be measured,4a86fbf6d3be82a598f43830051590c52c31e1a32414d67177c405598962e2f3,task055
1242,213,,18,195,19.638707834290575,8bf294b6d0f7157c902cc88a09bb647b7553cadf9c211da1f1982a8dc61c8461,11016,donor-unscorable,True,12258,ValueError: network performance could not be measured,5b5369654612c81887f2e80bab79d4d60416e2c779be2d2bc7b503e99016b4e7,task058
2021,547,,257,290,18.69555119757802,b097c826846442cf8e61477d38956c648e8076867df5b5b8ae807c6a2f2f8e66,10237,donor-unscorable,True,12258,ValueError: network performance could not be measured,6465903b8782f6c55e2331d989e30fac36e4206e48c054dde9c66cfa6335c856,task059
802,129,,0,129,20.140187595638327,0a68d150f2eb578e63cabb7e9e741bfdbf68ae40b15cbc3a94d244d15d58f842,11456,donor-unscorable,True,12258,ValueError: network performance could not be measured,d9b83c8c9bbc2dada995a028582dc5d72f61019db798d4e075a529d61b82b7bc,task060
875,1668,,1633,35,17.58061941708131,ca895cf016d83d9fdbcadf4e03a66caa491ec02314138a789a56ccd0a62addcd,11383,donor-unscorable,True,12258,ValueError: network performance could not be measured,e9660b411008f4fd57d6eb98cbf6f658effaad22c1bb26c2fc04e41853507e0b,task061
4138,2524,,2465,59,17.166399776338896,84ba2b1baf9ad0620d1c442497239ce770f64ddc1a9a38db66f6b15bfbd308d5,8120,donor-unscorable,True,12258,ValueError: network performance could not be measured,2567d5a9e49db68d0410cda0ad73566032f302041258661b38214b8543911ced,task062
972,1706,,1680,26,17.558093271948376,953a9e7991337bbc92c449d98e496bab2235e5fa99f46e837045c1f43e75eda1,11286,donor-unscorable,True,12258,ValueError: network performance could not be measured,a75f5bc4e3e791f886e78a45bd049527382181c625bbc56742143ea8f0b0a900,task063
3568,10432,,10346,86,15.747366715833566,c3ea9eca7744b34f97e113fa55baf2cdd5c1f5a61fc64bc8d01199825d05bd96,8690,donor-unscorable,True,12258,ValueError: network performance could not be measured,9a7ce60e0b139e2d118e2fbe81378b7823060e7bc861cc3773da997881ee205c,task064
