base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
2305,862,,826,36,18.240744729336306,7a9b76d46fa67b896ead9c80c3c13e8a408bb0d969aa6c4054fb74c6bb0caf58,-1284,cost-positive,-690,True,1021,172,,0,172,19.852505523186547,77f30c2ddad4b875cc59cfa3a74fcc9eddcad07b6ae702b9e25a328fcc8b066c,1.611760793850241,task047
986,1141,,1100,41,17.960339650137925,e94a2c2eca6e44ccd61e711fd1c3f5ca7fe58ee944b306e9e723d8c4143b888c,645,cost-positive,-639,True,1631,502,,368,134,18.78139988030827,0959080065b9cf8c977a5535550017df20e6f0e0eb0ba0d8adea22ca09f02ea4,0.821060230170346,task197
1248,921,,882,39,18.174539963744692,48e90bb143d40d4f9087a6671445bf1ce8b9f746c9f643336c0329c29ea54cf4,367,cost-positive,-388,True,1615,533,,288,245,18.721478575834155,9df289f36ff4b0d13564bc32fa4eb61d60f4af8fd64d903bba1a02dd7ea341c7,0.5469386120894626,task195
1068,1050,,1021,29,18.04345455684843,02dd5cdee77f7ecc1b20a46e6dec17a2e8404b6dc7b8fd59d7c8c8f69d2e7b78,418,cost-positive,-426,True,1486,624,,364,260,18.56384963163057,70de2180157a5cd53fdd59eb6a4a3647ae408f2f73e6c947c103207e2c8b3a46,0.5203950747821402,task329
5126,1539,,1171,368,17.66111186616112,2910f35126f46caf36c68c4e769c16d7bfc0155c8624786d2957e57804744f70,-3764,cost-positive,-609,True,1362,930,,811,119,18.1648154138527,b5a496384aeb9abd93f4548cf54001250ff4bdd9ab4824e7517949c61235dfc8,0.503703547691579,task343
1371,1604,,1557,47,17.61974421157354,72e9f5dee7a057e245199bb5f3aec7ef1f30ace1130fc3602745ba317068ba5b,27,cost-positive,-626,True,1398,978,,892,86,18.114490329965182,8eb173929a02cc4ad3788d9e91b3c6f5b264f87497aa6b9caea17be2eddd89d7,0.4947461183916424,task295
934,904,,765,139,18.193170639607825,b73deb3fe67d3d7c4fea3589637ee4ca48b45493af3aca6e3588d0aee9628899,1772,cost-positive,-340,True,2706,564,,44,520,18.664945748501943,476e64253b54c339a2ac679cbc6c5eae8be461fab2cd4d9711498b95666202b8,0.4717751088941178,task139
5434,764,,660,104,18.361432210833478,efce94591d90d91b418f893866e91a4c42e684031389dfd328731d679412cbfe,-3284,cost-positive,-239,True,2150,525,,388,137,18.736601737408378,dda41f99e2337bd62420226a79af377cfe33c2b7b4e03a4db98caa45f76e32db,0.37516952657490066,task188
2850,1254,,1224,30,17.865906278807135,2ebe6886be6c07f72bea7a3b614b2b979768cbbd99edef242d71c86d88af478a,-1319,cost-positive,-319,True,1531,935,,894,41,18.159453470711313,4d38ec909f00971b491444a1dd1c7a277795007ecbebc437d14ff78c883586b6,0.2935471919041781,task346
2190,1823,,1735,88,17.491761225321337,6df60e7c246c41e39aabad1ad0ed6b6094ce0957f2b891c5d5380939922ef99a,-182,cost-positive,-458,True,2008,1365,,1254,111,17.781090292380938,b6d5272819821b877ca4fd4453caa05d6b2b76c37328425cb455ac7c81bde471,0.28932906705960093,task199
