base_bytes,base_cost,base_error,base_points,base_sha256,byte_delta,classification,cost_delta,different,point_delta,source_path,task,task_number,variant_bytes,variant_cost,variant_error,variant_points,variant_sha256
5446,4099,,16.68150167949566,ca26a3c2953a8e58f3591e9334a0765e645863a7e682ee3d3afb8cd7a9273f7c,806,cost-positive,-464,True,0.12013393053671706,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task205,task205,205,6252,3635,,16.801635610032378,7e57bb0b7a67a996ad3bcad010d6395783644f9ee66fa8ec9d0213c036e3fbcf
1931,2039,,17.379785229425543,3360dec3ae934908e4541d9649feaaa26123161342a4243b0942c952199a96ef,24,cost-positive,-180,True,0.09242078285301147,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task184,task184,184,1955,1859,,17.472206012278555,341a0c32f26d01d53543b80754811f6092b03b56a5b493151c1f4d6fd655032f
4716,2458,,17.19289670987402,802856aaa8c6de3cc437bfabfdd912fcfdd9276607216b5954fdc899b2cdb268,685,cost-positive,-97,True,0.04026275304046578,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task222,task222,222,5401,2361,,17.233159462914486,168e0c0349e8706de6774556a2bece50f5a0d3b27cc95e6c0d816cfeb3fe7620
3224,1329,,17.807817941286753,9cf1318d269365dde5db64c3d4697154d1529df9f2f84913792d0bd084cec71f,125,cost-positive,-25,True,0.01899031622664893,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task281,task281,281,3349,1304,,17.826808257513402,d831f32313039adfab858ced4a8558e2cb5bbbcc8f3577e06d7ec8fa8cbc021f
14822,3208,,16.926597031013593,2fa9663f905581fb769ec0a5e6eaa9c0e235bfaf8b00ee5c582ddc35889e42a7,-3836,cost-positive,-39,True,0.012231609295486834,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task044,task044,44,10986,3169,,16.93882864030908,6300e4cf66d4f143fd3ec1910af621f9e30ddc3ba546cf002b6a9ade9da4c01e
3931,2858,,17.042122641510186,3f11dfbd0c055943f860c2010ebf0bed3622553a5e20d19d153256bc772be274,90,cost-positive,-30,True,0.010552331473352439,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task270,task270,270,4021,2828,,17.05267497298354,30334c08d6696769998fba8addb2049bf658c26a02eb7ba12d6b862cd611b2f2
5153,2727,,17.089042617154412,5cf74e6a01e042450ec464fa3041c83e2dd5c9f6fa18e29f32650639f7c817ff,1441,cost-positive,-16,True,0.005884533346922183,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task008,task008,8,6594,2711,,17.094927150501334,35504af6170ec0b18b70b733c612f705af9ba88628fae58d5216db972e5823ab
6483,1901,,17.449864657511572,5975da31bcc5cfd8ad72b3b0a1558614c901b17f0aaeceaceece1fa0211972e0,-50,cost-positive,-10,True,0.0052742738299720315,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task035,task035,35,6433,1891,,17.455138931341544,6cb9bac7c5fc9365793a0988c458e1fad4fc79b4def714f0aad1c928feffd18f
1813,1630,,17.60366470619919,d17729d2f2ac1c032e9b94cdd875843efe5f5bf8ab90edefd77387210a5cb14d,-12,cost-positive,-4,True,0.002457003693052684,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task323,task323,323,1801,1626,,17.606121709892243,2448e7a839828018d3419bca4080210ca5f344961fa568d02564f6efc7369f28
20139,32011,,14.626165127286631,c2129e85f2bb891b200421f885133416bd455b2857b7f3810bac8d675e860d56,7018,cost-positive,-73,True,0.0022830703125560348,competitions/neurogolf-2026/references/public-datasets/udit22-single-zips/task233,task233,233,27157,31938,,14.628448197599187,a1cf04a7af64891c846f0a76f14278cba69c0e60f8933c93677e62f6e6b13999
