base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
5434,764,,660,104,18.361432210833478,efce94591d90d91b418f893866e91a4c42e684031389dfd328731d679412cbfe,-4368,cost-positive,-651,True,1066,113,,53,60,20.27261218128766,2e1b539d0a0ee2347b478ef89676386b8300170cc3a2d8a006beb27f99450b09,1.9111799704541816,task188
2614,1808,,1646,162,17.500023459047878,a98c84ce6b85582c7ae205095c79ae1cd820f9e88461b962deca79700ae83da5,-1840,cost-positive,-1533,True,774,275,,190,85,19.38322890233343,f091c4b4b8f20e71d23b1ec2f5dd94a9b2637359bcc3414f826f1c13d8f2cea8,1.8832054432855507,task161
3101,3114,,3039,75,16.956336647606058,d6c521fcea56555db14da5d903b3394d7716dcb704b7c0ccec57306ef1cdd1d5,-630,cost-positive,-2356,True,2471,758,,679,79,18.36931661435763,834fe149b126376ade77a246b1ebcebf8e6abc31472d84d4881c07eaa630ad31,1.4129799667515712,task079
1173,402,,200,202,19.003547911380977,7522945b9d6b38bea0a5d0b3d2be2ead79cbf22c957a4fd45197cabc887e2678,-281,cost-positive,-254,True,892,148,,0,148,20.002787726235887,7dec9a3acc9fe49a7aa493e027a894192cb626ba18b927095d953e98299de7c3,0.99923981485491,task272
920,200,,144,56,19.701682633451963,f9625be22bba6717281a52ec13ef7747cbe8064618690490d8259159db56760e,-405,cost-positive,-126,True,515,74,,0,74,20.69593490679583,5f9a8513d653a8fd3ea5c74440eb587bce7e2e25e3ae5b96907e99fab8d0fddc,0.9942522733438679,task322
5515,4387,,3372,1015,16.613599098833788,ad222c862dd167b9e6b6f63e8c945011a5120ea09b94c311229ddd6368f96c92,-2938,cost-positive,-2656,True,2577,1731,,1644,87,17.543545444823792,eafb76abe8657f492f0574175e32276770df9347b2ab10141dc74b564f493cc8,0.9299463459900039,task377
4768,1829,,1694,135,17.488475351609132,fb8846f992cf784aba1e5d97c15d418bff48c408f7df6cc0f00e3da8bb73cb4b,-1919,cost-positive,-1104,True,2849,725,,108,617,18.413828345145326,6f7bfabe83cacf536476b367457edbbbb4cadac685377c305153018e9f030d9c,0.9253529935361939,task237
1200,190,,0,190,19.752975927839515,34c4840699dcbf379a0ad49f934c18f96525056b6771c7f3b81347d1becf3f30,-593,cost-positive,-110,True,607,80,,0,80,20.61797336532612,01ba84e2bca7236e35b1b674ebe44e86b809ffb65de9c8e29e2f3c6d39f44127,0.8649974374866041,task040
702,130,,108,22,20.132465549544417,0681ea20328fc88312ade626895809eb611fcc858e7114f824a58dc9254dc16a,-242,cost-positive,-75,True,460,55,,0,55,20.992666814767528,9538f819dc1c99a64c58c63e6d0c86a6ee01c09ad7602e5e8bc10f6fffcabaa1,0.860201265223111,task389
1921,194,,183,11,19.73214184093667,3aed754b3b13af23e3649151957654ce3394467526edec8540c2299563d18d8f,-1385,cost-positive,-109,True,536,85,,36,49,20.557348743509685,8565289b4041939a61144a35cdfe36f4061b6b3cd31a47665a5bd368e4e33168,0.8252069025730151,task334
