task,delta,size,n_sources,sources,hash
task127.onnx,-260,1009,9,anas;frank7225;frank7245;hanif;hoang;jonathan91;nikita00;poby;ryosuke,2421f9f0f87224c60a248e8d2e6577324615aef1a990193582137234da46f320
task025.onnx,-92,4697,9,anas;frank7225;frank7245;hanif;hoang;jonathan91;nikita00;poby;ryosuke,e33d292eb19701d703ed0f0c10b8ff18c38f83fac7aa31c157fc756bd17c7970
task275.onnx,-46,3279,9,anas;frank7225;frank7245;hanif;hoang;jonathan91;nikita00;poby;ryosuke,085256d2a74cfdb63c3f4243e8394ce59ee73aa5d57dbe381c2319e037a270f7
task091.onnx,-226,2965,8,anas;hanif;jonathan91;kaiwalya;lucifer_chimera;nikita00;poby;ryosuke,99f1ee6645ba95d504fd3bb7b55252f8b536a2b231aa398afc4024020354cb63
task036.onnx,-57,4233,8,anas;hanif;jonathan91;kaiwalya;lucifer_chimera;nikita00;poby;ryosuke,408e601d6479f3a1f652112888e52c78699d7731f3412d5488a5909c2ea53ae5
task377.onnx,-19,5496,8,anas;frank7245;hanif;hoang;jonathan91;nikita00;poby;ryosuke,506bb3ecaa35a3f5b0254b27bc4e7168e71f2466630178a85df25cba56dbfb67
task055.onnx,-268,1243,6,anas;hanif;jonathan91;nikita00;poby;ryosuke,c10324dc3827ff7efc3a305ecb421cffaf454e48cbacf77395e3f90cce454584
task338.onnx,-186,2529,6,anas;hanif;jonathan91;nikita00;poby;ryosuke,857ebd11081aa0a0e59e42e10e11adb33cf86a537147ef2db9a9e57a86b02278
task268.onnx,-162,5285,6,anas;hanif;jonathan91;nikita00;poby;ryosuke,badf6d0c30a4eb0ff41144b9c46b30186cbea1c005b4ec1afff5741f0cf8d326
task165.onnx,-138,2278,6,anas;hanif;kaiwalya;lucifer_chimera;nikita00;poby,c50cc2a83191dcc4253398e105fdb1a93278686f36d1c0ad973780e783faee14
task234.onnx,-136,4458,6,anas;hanif;jonathan91;nikita00;poby;ryosuke,98437b7dfc1e448b52e5eddef093f7842db14cc5651d6426df5fd6c316ba3f43
task101.onnx,-111,10304,6,anas;hanif;kaiwalya;lucifer_chimera;nikita00;poby,fe5a64e850700f6c36228b2e4cd7424b746dab50f51f5a31fd51e69d97d97b8a
task398.onnx,-98,5498,6,anas;jonathan91;kaiwalya;lucifer_chimera;nikita00;poby,ffa296fe2d6b18d1f6dc04c1ca53f8435d61ed0aee61dfa92749f9d626b7f462
task328.onnx,-94,3035,6,anas;hanif;jonathan91;nikita00;poby;ryosuke,282e6d5a0ae937f75a2860196373ffdd996a77c18e1f59ade751f466de4b1fdf
task255.onnx,-64,11372,6,anas;hanif;jonathan91;nikita00;poby;ryosuke,a45397cba43a93f3c00fe24cf03bf22c775b49667e6babb40ead63c288878269
task205.onnx,-39,5407,6,anas;hanif;jonathan91;nikita00;poby;ryosuke,371593b52e003775fadef27e547b125e9a2ebf9cefa801ffde893e99a977663f
task080.onnx,-6,6260,6,anas;hanif;jonathan91;nikita00;poby;ryosuke,9c4dc500d7371923add3c6578aba7b0e201d79d804a97e4932bba5607f834029
task366.onnx,-1597,29365,5,anas;hanif;jonathan91;nikita00;poby,f4110b52eb216d8105ba5e63025f96f425c4f4b8e5814403d6ab7f3574fcedaf
task198.onnx,-505,4082,5,anas;hanif;nikita00;poby;ryosuke,e216b70b4262379c312ade1ad325dbc24244c2ad96881238dd70bc0e9db673fe
task005.onnx,-404,4692,5,anas;hanif;nikita00;poby;ryosuke,a91c800a5d153db0b51bea8f4b5941b25e6aa11a4eaaa267b9a4b521a3151fb7
task064.onnx,-221,3347,5,anas;hanif;jonathan91;nikita00;poby,681779e26f83496dec73d440c133d4ec6d1d87ec72208d656c0dc08f521fd30d
task363.onnx,-131,3130,5,anas;jonathan91;nikita00;poby;ryosuke,993ed2e49657ad0d213afff704284101d86a3c3a79f539607b91ac88ee5ee0a0
task054.onnx,-1009,22788,4,anas;hanif;nikita00;poby,63e183aaeff6b5c4daa69c1ce34dd8cb2070bbb2cfb61a7b66ba9b97a05d5b56
task074.onnx,-14437,708,3,frank7225;frank7245;hoang,8462451e43594719cacf1721e0899202a8d6179c53e9440bf88b606439c7f510
task287.onnx,-2016,1811,3,frank7225;frank7245;hoang,cc13d8f7c4147b0f7a363d5b6b43f6b2a446cbe5b0cc16b13a910da6e24831a3
task304.onnx,-877,1077,3,frank7225;frank7245;hoang,c43deb52a8925956783edb530e1203e211a3e593b716e906eda0ff4daecd548b
task310.onnx,-781,2957,3,frank7225;frank7245;hoang,ef423c31c7a199a105d1d541c9d5fa90e2914d8987f6cac16433d36f87f47018
task137.onnx,-654,2041,3,frank7225;frank7245;hoang,59ab733a63abe777f5b9de8f382455e704065188e97327852f84735686a797b7
task064.onnx,-447,3121,3,frank7225;frank7245;hoang,432dee49e6e286120acb84f4a4c5309105ae36aa4b4d58a686b56e243ed20255
task190.onnx,-256,1806,3,frank7225;frank7245;hoang,8c768db5d9b170370c4640850e646dddf7bdef79d830120caf7bef29888e640c
task323.onnx,-256,1557,3,frank7225;frank7245;hoang,ea2c880d03fbfcdd8327fa621a61a761523703c29728f16060798bcba484531c
task035.onnx,-255,6228,3,frank7225;frank7245;hoang,1597de7c87670e2a49046d6a2a638162222bde60ac37bf3dbf2efb04c2bfc5fc
task251.onnx,-239,1584,3,frank7225;frank7245;hoang,41c425bf1239bf85c5636fd130a82f124233e4fa672c57b71dbabc8a94428ef8
task199.onnx,-208,1982,3,frank7225;frank7245;hoang,139df0d815ef9c194d339d84ecb5393b84b4b9c904f6d9e61d57148ff98f1788
task364.onnx,-196,1972,3,frank7225;frank7245;hoang,486641421f30247a078650db99e913d9d5445de941df39313cdd17e230856a9d
task235.onnx,-182,740,3,frank7225;frank7245;hoang,b3d322cc097ed65c290da4ca23c0de017f64a71234e1c4748dc96ee9fa99899b
