base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,point_delta,source_count,source_labels,source_path,source_paths,task,task_number,variant_bytes,variant_cost,variant_error,variant_memory,variant_params,variant_points,variant_sha256
6738,11082,,11009,73,15.686922550572705,c288ca90e68559397d455a0afa52210b3b21685ac3d792339dcf85725d823380,805,cost-positive,-271,0.02475803613452321,1,"[""hanif-epic-sax/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hanif-epic-sax/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hanif-epic-sax/submission.zip""]",task191,191,7543,10811,,10740,71,15.711680586707228,0aa732983974979a1ac559002879a59b21719bbe872a68e254638b8caede8880
6737,5695,,5568,127,16.352656124118717,ec62415cb08530ff70e410cfd34a811953bb10617017cd31c0648cd493fe02aa,77,cost-positive,-38,0.006694880538127279,1,"[""hanif-epic-sax/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hanif-epic-sax/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hanif-epic-sax/submission.zip""]",task382,382,6814,5657,,5530,127,16.359351004656844,7d3a5888116cf7a335ffb3f985bab8500f85af6c18e6f22ddf564ba67fe1a09a
1096,756,,570,186,18.37195862382047,4e52627397bd8f08e64b2bbb9e31391cc9fb74ed69be81e0d57cf00bf714b3d2,575,cost-positive,-3,0.003976148379639,1,"[""jonathan-task-graft-7250/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-task-graft-7250/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-task-graft-7250/submission.zip""]",task200,200,1671,753,,570,183,18.375934772200107,ca3bbd0ad88d1caa65cee84c729869d854002375b295b40ec55273ad99a80007
3438,2285,,2189,96,17.265878696671695,dfc2eae1970e464ff1f4ad4713012d816ce7df1f05cbd7bb62e28c71b1c72c53,3097,cost-positive,-6,0.0026292740826185934,2,"[""franksunp-7245-63/submission.zip"", ""jonathan-task-graft-7250/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7245-63/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7245-63/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-task-graft-7250/submission.zip""]",task046,46,6535,2279,,2189,90,17.268507970754314,8a112cb8c948fd2b8765263231f0731c04a8c491b63fed2d3ca825859bc11f44
14824,3212,,3060,152,16.925350924933348,376a09bb1bcde35b790393a24bbf964ba40658652791337dface0425126fc436,-2,cost-positive,-4,0.001246106080245113,1,"[""hanif-epic-sax/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hanif-epic-sax/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hanif-epic-sax/submission.zip""]",task044,44,14822,3208,,3060,148,16.926597031013593,2fa9663f905581fb769ec0a5e6eaa9c0e235bfaf8b00ee5c582ddc35889e42a7
20139,32011,,31272,739,14.626165127286631,c2129e85f2bb891b200421f885133416bd455b2857b7f3810bac8d675e860d56,7242,cost-positive,-36,0.0011252462663247087,1,"[""jonathan-merged91-workbench/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-merged91-workbench/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-merged91-workbench/submission.zip""]",task233,233,27381,31975,,31236,739,14.627290373552956,c00b2ae47908ddeea66dd1fcb08466b90a2bec1a55c651117a4711fd8d31ddeb
1862,20805,,20700,105,15.057051378582958,744e959a70c89d002d720d5883b598bae71dd7d84165e7b03028fffdb8d76bc0,164,cost-positive,-2,9.613535865860001e-05,1,"[""jonathan-task-graft-7250/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-task-graft-7250/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-task-graft-7250/submission.zip""]",task364,364,2026,20803,,20700,103,15.057147513941617,8470a1170973a45cbd322f548eac9adfa06ec5a7eb7d073278494801bb6e646f
658,170,,111,59,19.864201562949738,f3e1811e26406e3728fbec90a1b573865171d86aa8c4984ea12060f5d1c2ff91,82,cost-neutral,0,0.0,7,"[""franksunp-7225-19/submission.zip"", ""franksunp-7245-63/submission.zip"", ""hoangvux-neurogolf/submission.zip"", ""hoangvux-neurogolf/submission_control_715048.zip"", ""hoangvux-neurogolf/submission_next_task_test.zip"", ""jonathan-7242-task-graft/submission.zip"", ""jonathan-task-graft-7250/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7225-19/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7225-19/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7245-63/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hoangvux-neurogolf/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hoangvux-neurogolf/submission_control_715048.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/hoangvux-neurogolf/submission_next_task_test.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-7242-task-graft/submission.zip"", ""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/jonathan-task-graft-7250/submission.zip""]",task235,235,740,170,,111,59,19.864201562949738,b3d322cc097ed65c290da4ca23c0de017f64a71234e1c4748dc96ee9fa99899b
990,1229,,1200,29,17.886043890433967,91d5bee2ae4736b4512997b694aeea1262276bea276f76c91e520ed4e9a31cf8,32,cost-neutral,0,0.0,1,"[""franksunp-7245-63/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7245-63/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7245-63/submission.zip""]",task351,351,1022,1229,,1200,29,17.886043890433967,2a1e94edd29295f893567e2dc20aacde319085afd1f7c5713ffbb9aba17a45ab
1055,431,,372,59,18.933891909896253,448bf02185eea15fbfb56c072b53f73900df8dd52d35e8c8261be4793653e368,26,cost-neutral,0,0.0,1,"[""franksunp-7245-63/submission.zip""]",/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7245-63/submission.zip,"[""/Users/giovannidallolio/workspace/kaggle_competitions/competitions/neurogolf-2026/references/public-kernels/franksunp-7245-63/submission.zip""]",task242,242,1081,431,,372,59,18.933891909896253,6b8777811f0f4add74c097e5c18023d40c68ffa1b9519f06aa1ebf07dd671230
