task,variant_hash,min_delta,source_count,sources
task243,6ffd107c9f414524,-112713,1,frank_7225_19_zip:5620:-112713
task074,8462451e43594719,-14437,4,frank_7245_63_zip:708:-14437;frank_7245_63_selected:708:-14437;frank_7225_19_zip:708:-14437;hoangvux_neurogolf:708:-14437
task366,b7c65739b0958c6d,-12342,1,ryosuke_7266_48:18620:-12342
task044,da74d660c4350c84,-10118,2,frank_7245_63_zip:4706:-10118;frank_7245_63_selected:4706:-10118
task044,fcb4b073711172f9,-9649,1,hoangvux_neurogolf:5175:-9649
task074,1da6eb4193b945cd,-7144,1,ryosuke_7266_48:8001:-7144
task008,bf083264c7dc950a,-4408,1,frank_7225_19_zip:2601:-4408
task023,bf885cfc63a19dbe,-3398,1,frank_7225_19_zip:14256:-3398
task187,32e0ce8afb2b5add,-3206,1,frank_7225_19_zip:9414:-3206
task222,4d584bf433871baf,-2956,1,frank_7225_19_zip:2482:-2956
task092,a8c082121f6f2b04,-2907,1,frank_7225_19_zip:6948:-2907
task264,495f6b679e715cf0,-2511,1,frank_7225_19_zip:5911:-2511
task377,c4b2b07ae73c8ef2,-2238,1,frank_7225_19_zip:3277:-2238
task205,8a8d591da85554e2,-2199,2,frank_7245_63_zip:3247:-2199;frank_7245_63_selected:3247:-2199
task008,25e8c6bc7379f566,-2141,1,hoangvux_neurogolf:4868:-2141
task008,dc92eaaf9dd3f2de,-2084,1,ryosuke_7266_48:4925:-2084
task287,cc13d8f7c4147b0f,-2016,4,frank_7245_63_zip:1811:-2016;frank_7245_63_selected:1811:-2016;frank_7225_19_zip:1811:-2016;hoangvux_neurogolf:1811:-2016
task044,9a4ba144fb5d1bfa,-1924,1,frank_7225_19_zip:12900:-1924
task138,710018cc177a0508,-1751,1,frank_7225_19_zip:4665:-1751
task138,092da833e6757076,-1733,3,frank_7245_63_zip:4683:-1733;frank_7245_63_selected:4683:-1733;hoangvux_neurogolf:4683:-1733
task008,d440589cd5ed04fb,-1670,2,frank_7245_63_zip:5339:-1670;frank_7245_63_selected:5339:-1670
task319,0f7ee546d180c1a1,-1648,1,frank_7225_19_zip:8729:-1648
task036,44fba614f66382d1,-1618,1,frank_7225_19_zip:2672:-1618
task366,f4110b52eb216d81,-1597,3,poby_7268:29365:-1597;biohack_src_A:29365:-1597;biohack_src_B:29365:-1597
task036,d42d904011f83d48,-1585,1,hoangvux_neurogolf:2705:-1585
task085,4f4783dd96f863a0,-1583,1,ryosuke_7266_48:2003:-1583
task036,fd367db2a694f050,-1553,2,frank_7245_63_zip:2737:-1553;frank_7245_63_selected:2737:-1553
task202,32dcf6ec8633b7c0,-1517,1,frank_7225_19_zip:1032:-1517
task205,7c15b6fe8a5fbcdf,-1503,1,hoangvux_neurogolf:3943:-1503
task202,668b918940dc8d66,-1493,3,frank_7245_63_zip:1056:-1493;frank_7245_63_selected:1056:-1493;hoangvux_neurogolf:1056:-1493
task107,bd4a7938556e14c1,-1465,1,ryosuke_7266_48:4201:-1465
task370,342a888b9ea2620c,-1416,1,ryosuke_7266_48:5253:-1416
task310,4a66563b62a74c1b,-1404,1,ryosuke_7266_48:2334:-1404
task093,f05747e0e694e10a,-1361,3,frank_7245_63_zip:3246:-1361;frank_7245_63_selected:3246:-1361;hoangvux_neurogolf:3246:-1361
task018,2d6294abd7b61c87,-1358,1,hoangvux_neurogolf:71894:-1358
task397,5c4a0695e52b3936,-1354,2,frank_7245_63_zip:3300:-1354;frank_7245_63_selected:3300:-1354
task397,63e07ca6aa482f89,-1352,2,frank_7225_19_zip:3302:-1352;hoangvux_neurogolf:3302:-1352
task018,89f76cb22cbecf83,-1317,1,frank_7225_19_zip:71935:-1317
task093,4da37a8b6bb7c24f,-1225,1,frank_7225_19_zip:3382:-1225
task234,7f3bae43b9600115,-1019,2,frank_7245_63_zip:3575:-1019;frank_7245_63_selected:3575:-1019
