neighbor,neighbor_architecture,neighbor_cost,neighbor_tags,rank,similarity,target,target_architecture,target_cost,target_tags
task184,quantized,2039,crop_or_extract;select_or_erase;extract_and_recompose,1,1.000000,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task096,mixed,7678,crop_or_extract;select_or_erase;extract_and_recompose,2,0.944444,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task377,mixed,4387,crop_or_extract;select_or_erase;extract_and_recompose,3,0.944444,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task238,mixed,1935,crop_or_extract;extract_and_recompose,4,0.888889,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task325,einsum,1483,crop_or_extract;select_or_erase;extract_and_recompose,5,0.888889,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task308,mixed,1468,crop_or_extract;select_or_erase;extract_and_recompose,6,0.888889,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task115,mixed,1014,crop_or_extract;select_or_erase;extract_and_recompose,7,0.888889,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task195,index_scatter,921,crop_or_extract;select_or_erase;extract_and_recompose,8,0.888889,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task022,spatial,900,crop_or_extract;select_or_erase;extract_and_recompose,9,0.888889,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task393,mixed,144,crop_or_extract;select_or_erase;extract_and_recompose,10,0.888889,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task159,mixed,1568,crop_or_extract;paint_or_fill;extract_and_recompose,11,0.861111,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task396,mixed,3560,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,12,0.847222,task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose
task170,mixed,2124,crop_or_extract;select_or_erase,1,0.805556,task366,mixed,27887,select_or_erase
task178,mixed,762,select_or_erase,2,0.777778,task366,mixed,27887,select_or_erase
task065,mixed,638,crop_or_extract;subgrid_extract;select_or_erase,3,0.722222,task366,mixed,27887,select_or_erase
task025,mixed,9817,same_shape;select_or_erase,4,0.694444,task366,mixed,27887,select_or_erase
task329,index_scatter,1050,same_shape;select_or_erase,5,0.694444,task366,mixed,27887,select_or_erase
task097,single_conv,910,same_shape;select_or_erase,6,0.694444,task366,mixed,27887,select_or_erase
task188,bitwise,764,subgrid_extract;select_or_erase,7,0.694444,task366,mixed,27887,select_or_erase
task394,mixed,676,crop_or_extract;select_or_erase,8,0.694444,task366,mixed,27887,select_or_erase
task180,single_conv,210,crop_or_extract;select_or_erase,9,0.694444,task366,mixed,27887,select_or_erase
task233,mixed,32011,crop_or_extract;select_or_erase;extract_and_recompose,10,0.666667,task366,mixed,27887,select_or_erase
task209,mixed,7769,paint_or_fill,11,0.666667,task366,mixed,27887,select_or_erase
task310,mixed,3184,crop_or_extract;subgrid_extract;select_or_erase,12,0.666667,task366,mixed,27887,select_or_erase
task133,mixed,21135,same_shape;paint_or_fill,1,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task101,mixed,13695,same_shape;paint_or_fill,2,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task076,mixed,12825,same_shape;paint_or_fill,3,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task243,bitwise,10690,same_shape;paint_or_fill,4,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task066,bitwise,10571,same_shape;paint_or_fill,5,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task379,mixed,7653,same_shape;paint_or_fill,6,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task092,mixed,6553,same_shape;paint_or_fill,7,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task132,mixed,3637,same_shape;paint_or_fill,8,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task284,mixed,3089,same_shape;paint_or_fill,9,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task224,mixed,1886,same_shape;paint_or_fill,10,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task237,mixed,1829,same_shape;paint_or_fill,11,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task086,mixed,256,same_shape;paint_or_fill,12,1.000000,task286,bitwise,26909,same_shape;paint_or_fill
task314,single_conv,100,same_shape;mask_preserving,1,1.000000,task054,index_scatter,24717,same_shape;mask_preserving
task373,single_einsum,60,same_shape;mask_preserving,2,1.000000,task054,index_scatter,24717,same_shape;mask_preserving
task064,mixed,10432,same_shape;mask_preserving,3,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task324,mixed,8555,same_shape;mask_preserving,4,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task370,mixed,6585,same_shape;mask_preserving,5,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task182,mixed,6095,same_shape;mask_preserving,6,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task277,spatial,3540,same_shape;mask_preserving,7,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task330,spatial,2825,same_shape;mask_preserving,8,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task158,mixed,2497,same_shape;mask_preserving,9,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task374,mixed,2217,same_shape;mask_preserving,10,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task035,mixed,1901,same_shape;mask_preserving,11,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task169,quantized,1670,same_shape;mask_preserving,12,0.888889,task054,index_scatter,24717,same_shape;mask_preserving
task286,bitwise,26909,same_shape;paint_or_fill,1,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task101,mixed,13695,same_shape;paint_or_fill,2,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task076,mixed,12825,same_shape;paint_or_fill,3,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task243,bitwise,10690,same_shape;paint_or_fill,4,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task066,bitwise,10571,same_shape;paint_or_fill,5,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task379,mixed,7653,same_shape;paint_or_fill,6,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task092,mixed,6553,same_shape;paint_or_fill,7,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task132,mixed,3637,same_shape;paint_or_fill,8,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task284,mixed,3089,same_shape;paint_or_fill,9,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task224,mixed,1886,same_shape;paint_or_fill,10,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task237,mixed,1829,same_shape;paint_or_fill,11,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task086,mixed,256,same_shape;paint_or_fill,12,1.000000,task133,mixed,21135,same_shape;paint_or_fill
task328,mixed,6296,same_shape;paint_or_fill,1,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task382,mixed,5695,same_shape;paint_or_fill,2,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task117,mixed,3795,same_shape;paint_or_fill,3,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task137,mixed,3389,same_shape;paint_or_fill,4,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task378,mixed,3091,same_shape;paint_or_fill,5,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task013,mixed,1424,same_shape;paint_or_fill,6,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task141,mixed,1383,same_shape;paint_or_fill,7,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task288,index_scatter,958,same_shape;paint_or_fill,8,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task306,single_einsum,300,same_shape;paint_or_fill,9,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task082,single_conv,190,same_shape;paint_or_fill,10,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task248,mixed,151,same_shape;paint_or_fill,11,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task113,single_gather,30,same_shape;paint_or_fill,12,1.000000,task285,mixed,18674,same_shape;paint_or_fill
task367,spatial,13926,same_shape;palette_add;paint_or_fill,1,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task204,spatial,10232,same_shape;palette_add;paint_or_fill,2,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task256,mixed,2113,same_shape;palette_add;paint_or_fill,3,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task055,mixed,1767,same_shape;palette_add;paint_or_fill,4,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task063,mixed,1706,same_shape;palette_add;paint_or_fill,5,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task348,mixed,1706,same_shape;palette_add;paint_or_fill,6,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task151,single_conv,900,same_shape;palette_add;paint_or_fill,7,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task357,mixed,291,same_shape;palette_add;paint_or_fill,8,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task166,single_einsum,24,same_shape;palette_add;paint_or_fill,9,1.000000,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task349,mixed,14892,same_shape;palette_add;paint_or_fill,10,0.944444,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task002,bitwise,14285,same_shape;palette_add;paint_or_fill,11,0.944444,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task145,spatial,12855,same_shape;palette_add;paint_or_fill,12,0.944444,task187,bitwise,15790,same_shape;palette_add;paint_or_fill
task002,bitwise,14285,same_shape;palette_add;paint_or_fill,1,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task145,spatial,12855,same_shape;palette_add;paint_or_fill,2,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task198,mixed,10350,same_shape;palette_add;paint_or_fill,3,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task350,spatial,9036,same_shape;palette_add;paint_or_fill,4,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task148,mixed,4887,same_shape;palette_add;paint_or_fill,5,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task251,spatial,4515,same_shape;palette_add;paint_or_fill,6,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task090,mixed,3052,same_shape;palette_add;paint_or_fill,7,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task105,bitwise,2835,same_shape;palette_add;paint_or_fill,8,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task246,bitwise,2066,same_shape;palette_add;paint_or_fill,9,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task303,mixed,1450,same_shape;palette_add;paint_or_fill,10,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task232,single_conv,1410,same_shape;palette_add;paint_or_fill,11,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task335,einsum,1380,same_shape;palette_add;paint_or_fill,12,1.000000,task349,mixed,14892,same_shape;palette_add;paint_or_fill
task349,mixed,14892,same_shape;palette_add;paint_or_fill,1,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task145,spatial,12855,same_shape;palette_add;paint_or_fill,2,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task198,mixed,10350,same_shape;palette_add;paint_or_fill,3,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task350,spatial,9036,same_shape;palette_add;paint_or_fill,4,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task148,mixed,4887,same_shape;palette_add;paint_or_fill,5,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task251,spatial,4515,same_shape;palette_add;paint_or_fill,6,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task090,mixed,3052,same_shape;palette_add;paint_or_fill,7,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task105,bitwise,2835,same_shape;palette_add;paint_or_fill,8,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task246,bitwise,2066,same_shape;palette_add;paint_or_fill,9,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task303,mixed,1450,same_shape;palette_add;paint_or_fill,10,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task232,single_conv,1410,same_shape;palette_add;paint_or_fill,11,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task335,einsum,1380,same_shape;palette_add;paint_or_fill,12,1.000000,task002,bitwise,14285,same_shape;palette_add;paint_or_fill
task187,bitwise,15790,same_shape;palette_add;paint_or_fill,1,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task204,spatial,10232,same_shape;palette_add;paint_or_fill,2,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task256,mixed,2113,same_shape;palette_add;paint_or_fill,3,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task055,mixed,1767,same_shape;palette_add;paint_or_fill,4,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task063,mixed,1706,same_shape;palette_add;paint_or_fill,5,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task348,mixed,1706,same_shape;palette_add;paint_or_fill,6,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task151,single_conv,900,same_shape;palette_add;paint_or_fill,7,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task357,mixed,291,same_shape;palette_add;paint_or_fill,8,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task166,single_einsum,24,same_shape;palette_add;paint_or_fill,9,1.000000,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task349,mixed,14892,same_shape;palette_add;paint_or_fill,10,0.944444,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task002,bitwise,14285,same_shape;palette_add;paint_or_fill,11,0.944444,task367,spatial,13926,same_shape;palette_add;paint_or_fill
task145,spatial,12855,same_shape;palette_add;paint_or_fill,12,0.944444,task367,spatial,13926,same_shape;palette_add;paint_or_fill
