architecture_family,component_relation,estimated_cost,estimated_memory,estimated_points,exact_geometric_transform,exact_integer_scale,example_count,initializer_count,input_is_output_subgrid,input_shape_variability,model_bytes,node_count,nonzero_relation,output_is_input_subgrid,output_is_nonzero_bbox,output_shape_variability,palette_relation,parameter_count,primitive_tags,same_shape_examples,same_shape_mask_relation,semantic_signature,shape_inventory_complete,shape_relation,task,top_ops
spatial,increase,286,265,19.344008189,none,none,268,4,all,fixed,795,8,increase,none,none,fixed,same,21,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|increase|not_applicable|none|none|all|none|none|fixed|fixed,True,rows_increase:cols_increase,task001,ConvTranspose:2;Cast:2;ReduceMax:1;Equal:1;Concat:1;Conv:1
bitwise,decrease,14285,14060,15.433034685,none,none,268,21,none,variable,12833,143,increase,none,none,variable,output_superset,225,same_shape;palette_add;paint_or_fill,268,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task002,BitwiseOr:47;BitwiseAnd:32;Gather:28;BitShift:27;Cast:2;BitwiseXor:2;Einsum:1;Slice:1;Unsqueeze:1;Pad:1
index_scatter,increase,260,227,19.439318369,none,none,265,8,none,fixed,1309,17,increase,none,none,fixed,disjoint,33,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_same|disjoint|increase|increase|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_increase:cols_same,task003,Gather:4;Where:3;And:2;Concat:2;Slice:1;Cast:1;Equal:1;Split:1;BitwiseXor:1;ConvInteger:1
mixed,decrease,4866,4772,16.509972477,none,none,265,9,none,variable,1433,16,same,none,none,variable,same,94,same_shape,265,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task004,Gather:3;Where:3;Cast:2;Conv:1;Less:1;ReduceMax:1;Greater:1;Xor:1;Max:1;Pad:1
mixed,increase,2716,1994,17.093084511,none,none,266,49,none,fixed,5096,76,increase,none,none,fixed,same,722,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,False,rows_same:cols_same,task005,Reshape:14;Add:11;Slice:10;ReduceMax:9;Gather:4;Cast:3;And:3;Min:2;QLinearConv:2;Mul:2
mixed,mixed,153,126,19.969562079,none,none,266,8,none,fixed,877,7,decrease,none,none,fixed,mixed,27,crop_or_extract;select_or_erase,0,not_applicable,rows_same:cols_decrease|mixed|decrease|mixed|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_same:cols_decrease,task006,Slice:2;Cast:2;And:1;Where:1;Pad:1
single_einsum,decrease,127,0,20.155812914,none,none,266,3,none,fixed,840,1,increase,none,none,fixed,same,127,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task007,Einsum:1
mixed,decrease,2743,2654,17.083192509,none,none,266,19,none,variable,7009,107,same,none,none,variable,same,89,same_shape,266,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task008,Sub:16;Cast:13;Add:10;Slice:8;Reshape:8;Log:8;Mul:8;Floor:8;Concat:7;Where:6
mixed,same,6510,6349,16.218905265,none,none,265,11,none,variable,1874,21,increase,none,none,variable,same,161,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task009,Cast:6;Equal:2;Einsum:2;Max:2;Where:2;Pad:2;Conv:1;Slice:1;ArgMax:1;Concat:1
mixed,same,1002,670,18.090246718,none,none,265,11,none,fixed,1491,21,same,none,none,fixed,disjoint,332,same_shape;mask_preserving,265,same,rows_same:cols_same|disjoint|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task010,Cast:4;Unsqueeze:3;Concat:3;Split:2;Einsum:1;Slice:1;Greater:1;ReduceSum:1;Equal:1;Where:1
einsum,decrease,318,64,19.237948617,none,none,267,4,none,fixed,1525,5,decrease,none,none,fixed,output_subset,254,same_shape;palette_filter;select_or_erase,267,overlap,rows_same:cols_same|output_subset|decrease|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task011,Einsum:3;Sub:2
index_scatter,increase,2251,2063,17.280870159,none,none,265,16,none,fixed,2240,28,increase,none,none,fixed,same,188,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task012,Cast:5;Concat:4;Add:3;Gather:2;ArgMax:2;Reshape:2;Einsum:1;TopK:1;Slice:1;Flatten:1
mixed,increase,1424,1361,17.738774908,none,none,267,10,none,variable,2325,49,increase,none,none,variable,same,63,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task013,Where:11;Cast:8;Equal:5;ArgMax:4;Gather:4;Einsum:3;Greater:3;Sub:3;Reshape:2;ReduceMax:1
mixed,decrease,4097,4016,16.681989722,none,none,266,14,none,variable,2751,41,decrease,all,none,variable,output_subset,81,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task014,Cast:5;ArgMax:4;Sub:4;Where:3;Greater:3;Concat:3;Equal:2;Einsum:2;Min:2;Add:2
single_conv,mixed,900,0,18.197605237,none,none,265,1,none,fixed,3774,1,increase,none,none,fixed,output_superset,900,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|mixed|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task015,Conv:1
single_gather,same,10,0,22.697414907,none,none,267,1,none,fixed,158,1,same,none,none,fixed,mixed,10,same_shape;mask_preserving,267,same,rows_same:cols_same|mixed|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task016,Gather:1
index_scatter,decrease,6453,4749,16.227699582,none,none,266,14,none,fixed,6229,28,increase,none,none,fixed,same,1704,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task017,Cast:5;Gather:4;Add:3;Mod:3;ArgMax:2;Equal:2;Sub:2;Mul:2;GatherND:1;MatMulInteger:1
mixed,decrease,23771,23654,14.923778371,none,none,266,41,none,variable,73252,675,decrease,none,none,variable,same,117,same_shape;select_or_erase,266,overlap,rows_same:cols_same|same|decrease|decrease|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task018,Add:104;Mul:94;Cast:79;Sub:70;Clip:58;Equal:52;Gather:43;Where:41;Reshape:20;And:12
mixed,mixed,2503,2421,17.174754709,none,none,267,15,none,variable,1868,30,increase,none,none,variable,output_superset,82,expand_or_compose;palette_add;paint_or_fill,0,not_applicable,rows_increase:cols_increase|output_superset|increase|mixed|not_applicable|none|none|none|none|none|variable|variable,True,rows_increase:cols_increase,task019,Cast:4;ReduceMax:3;Where:3;Equal:2;ReduceSum:2;Add:2;Squeeze:2;Mod:2;Gather:2;Less:2
index_scatter,increase,1256,1104,17.864312653,none,none,266,19,none,fixed,3335,39,increase,none,none,fixed,same,152,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task020,Cast:6;Add:6;Concat:5;Slice:4;ArgMax:3;Reshape:3;Gather:3;ReduceMin:2;Less:2;GatherND:1
einsum,same,324,264,19.219256484,none,none,266,2,none,variable,844,13,decrease,mixed,none,variable,output_subset,60,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|same|not_applicable|mixed|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task021,Einsum:6;Cast:3;Sub:2;Less:2
spatial,decrease,900,162,18.197605237,none,none,266,8,none,fixed,3457,4,decrease,none,none,fixed,same,738,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task022,Einsum:1;Add:1;Equal:1;Pad:1
quantized,same,8222,8083,15.985431233,none,none,266,17,none,variable,17654,103,same,none,none,variable,disjoint,139,same_shape;mask_preserving,266,same,rows_same:cols_same|disjoint|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task023,QLinearConv:46;Add:21;Mul:11;Cast:6;Sub:5;Equal:4;Min:4;Pad:3;Slice:2;Concat:1
single_einsum,decrease,110,0,20.299519634,none,none,266,3,none,variable,720,1,increase,none,none,variable,same,110,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task024,Einsum:1
mixed,decrease,9817,9684,15.808129144,none,none,266,11,none,variable,4789,61,decrease,none,none,variable,mixed,133,same_shape;select_or_erase,266,mixed,rows_same:cols_same|mixed|decrease|decrease|mixed|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task025,Cast:11;Mul:11;Einsum:7;Add:6;ReduceMax:4;Unsqueeze:3;Sub:3;OneHot:3;Concat:3;ReduceSum:2
single_conv,mixed,200,0,19.701682633,none,none,268,1,none,fixed,1016,1,decrease,none,none,fixed,mixed,200,crop_or_extract;select_or_erase,0,not_applicable,rows_same:cols_decrease|mixed|decrease|mixed|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_same:cols_decrease,task026,Conv:1
